Inexperienced School Leaders,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Principals,Number of Inexperienced Principals,Percent of Inexperienced Assistant Principals,Number of Inexperienced Assistant Principals
2023 - 2024,SCH,Fairfax County Public Schools,Forestville Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Forestville Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Elementary,All Schools,All Schools,100,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Elementary,All Schools,Non-Title I,100,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Elementary,Low Poverty,All Schools,100,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Elementary,Low Poverty,Non-Title I,100,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Upper Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Upper Elementary,All Schools,Non-Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Upper Elementary,Low Poverty,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Fort Belvoir Upper Elementary,Low Poverty,Non-Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Fort Hunt Elementary,All Schools,All Schools,100,1,100,1
2023 - 2024,SCH,Fairfax County Public Schools,Fort Hunt Elementary,All Schools,Non-Title I,100,1,100,1
2023 - 2024,SCH,Fairfax County Public Schools,Fort Hunt Elementary,Low Poverty,All Schools,100,1,100,1
2023 - 2024,SCH,Fairfax County Public Schools,Fort Hunt Elementary,Low Poverty,Non-Title I,100,1,100,1
2023 - 2024,SCH,Fairfax County Public Schools,Fox Mill Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Fox Mill Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Fox Mill Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Fox Mill Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Franconia Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Franconia Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Franconia Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Franconia Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Franklin Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Franklin Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Franklin Middle,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Franklin Middle,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Freedom Hill Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Freedom Hill Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Frost Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Frost Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Frost Middle,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Frost Middle,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Garfield Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Garfield Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Glasgow Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Glasgow Middle,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Glen Forest Elementary,All Schools,All Schools,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Glen Forest Elementary,All Schools,Title I,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Glen Forest Elementary,High Poverty,All Schools,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Glen Forest Elementary,High Poverty,Title I,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Graham Road Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Graham Road Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Graham Road Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Graham Road Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Great Falls Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Great Falls Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Great Falls Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Great Falls Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar East Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar East Elementary,All Schools,Non-Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar East Elementary,Low Poverty,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar East Elementary,Low Poverty,Non-Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar West Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar West Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar West Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Greenbriar West Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Groveton Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Groveton Elementary,All Schools,Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Gunston Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Gunston Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Halley Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Halley Elementary,All Schools,Non-Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Haycock Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Haycock Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Haycock Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Haycock Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Secondary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Secondary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Secondary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Secondary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Herndon Elementary,All Schools,All Schools,0,0,25,1
2023 - 2024,SCH,Fairfax County Public Schools,Herndon Elementary,All Schools,Title I,0,0,25,1
2023 - 2024,SCH,Fairfax County Public Schools,Herndon High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Herndon High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Herndon Middle,All Schools,All Schools,0,0,25,1
2023 - 2024,SCH,Fairfax County Public Schools,Herndon Middle,All Schools,Non-Title I,0,0,25,1
2023 - 2024,SCH,Fairfax County Public Schools,Hollin Meadows Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hollin Meadows Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Holmes Middle,All Schools,All Schools,100,1,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Holmes Middle,All Schools,Non-Title I,100,1,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Hughes Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hughes Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hunt Valley Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hunt Valley Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hunt Valley Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hunt Valley Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hunters Woods Elementary School for the Arts and Sciences,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hunters Woods Elementary School for the Arts and Sciences,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hunters Woods Elementary School for the Arts and Sciences,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hunters Woods Elementary School for the Arts and Sciences,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hutchison Elementary,All Schools,All Schools,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Hutchison Elementary,All Schools,Title I,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Hutchison Elementary,High Poverty,All Schools,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Hutchison Elementary,High Poverty,Title I,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Hybla Valley Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hybla Valley Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hybla Valley Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Hybla Valley Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Irving Middle,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Irving Middle,All Schools,Non-Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Irving Middle,Low Poverty,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Irving Middle,Low Poverty,Non-Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Island Creek Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Island Creek Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Island Creek Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Island Creek Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Jackson Middle,All Schools,All Schools,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Jackson Middle,All Schools,Non-Title I,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Johnson Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Johnson Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Johnson Middle,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Johnson Middle,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Justice High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Justice High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Keene Mill Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Keene Mill Elementary,All Schools,Non-Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Keene Mill Elementary,Low Poverty,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Keene Mill Elementary,Low Poverty,Non-Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Kent Gardens Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kent Gardens Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kent Gardens Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kent Gardens Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Key Center,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Key Center,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Key Middle,All Schools,All Schools,100,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Key Middle,All Schools,Non-Title I,100,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Center,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Center,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Center,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Center,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Middle,All Schools,All Schools,100,1,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Middle,All Schools,Non-Title I,100,1,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Middle,Low Poverty,All Schools,100,1,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Middle,Low Poverty,Non-Title I,100,1,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Kings Glen Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kings Glen Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kings Glen Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kings Glen Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kings Park Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kings Park Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kings Park Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Kings Park Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lake Anne Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lake Anne Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lake Braddock Secondary,All Schools,All Schools,0,0,18.2,2
2023 - 2024,SCH,Fairfax County Public Schools,Lake Braddock Secondary,All Schools,Non-Title I,0,0,18.2,2
2023 - 2024,SCH,Fairfax County Public Schools,Lake Braddock Secondary,Low Poverty,All Schools,0,0,18.2,2
2023 - 2024,SCH,Fairfax County Public Schools,Lake Braddock Secondary,Low Poverty,Non-Title I,0,0,18.2,2
2023 - 2024,SCH,Fairfax County Public Schools,Lane Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lane Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lane Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lane Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Langley High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Langley High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Langley High,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Langley High,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Hill Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Hill Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Hill Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Hill Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Ridge Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Ridge Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Ridge Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Ridge Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lees Corner Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lees Corner Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lees Corner Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lees Corner Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lemon Road Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lemon Road Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lemon Road Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lemon Road Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lewis High,All Schools,All Schools,0,0,20,1
2023 - 2024,SCH,Fairfax County Public Schools,Lewis High,All Schools,Non-Title I,0,0,20,1
2023 - 2024,SCH,Fairfax County Public Schools,Liberty Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Liberty Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Little Run Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Little Run Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Little Run Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Little Run Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,London Towne Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,London Towne Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Longfellow Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Longfellow Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Longfellow Middle,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Longfellow Middle,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lorton Station Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lorton Station Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Lynbrook Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Lynbrook Elementary,All Schools,Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Madison High,All Schools,All Schools,0,0,20,1
2023 - 2024,SCH,Fairfax County Public Schools,Madison High,All Schools,Non-Title I,0,0,20,1
2023 - 2024,SCH,Fairfax County Public Schools,Madison High,Low Poverty,All Schools,0,0,20,1
2023 - 2024,SCH,Fairfax County Public Schools,Madison High,Low Poverty,Non-Title I,0,0,20,1
2023 - 2024,SCH,Fairfax County Public Schools,Mantua Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Mantua Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Mantua Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Mantua Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Marshall High,All Schools,All Schools,0,0,20,1
2023 - 2024,SCH,Fairfax County Public Schools,Marshall High,All Schools,Non-Title I,0,0,20,1
2023 - 2024,SCH,Fairfax County Public Schools,Marshall High,Low Poverty,All Schools,0,0,20,1
2023 - 2024,SCH,Fairfax County Public Schools,Marshall High,Low Poverty,Non-Title I,0,0,20,1
2023 - 2024,SCH,Fairfax County Public Schools,Marshall Road Elementary,All Schools,All Schools,100,1,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Marshall Road Elementary,All Schools,Non-Title I,100,1,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Marshall Road Elementary,Low Poverty,All Schools,100,1,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Marshall Road Elementary,Low Poverty,Non-Title I,100,1,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Mason Crest Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Mason Crest Elementary,All Schools,Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,McLean High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,McLean High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,McLean High,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,McLean High,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,McNair Elementary,All Schools,All Schools,100,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,McNair Elementary,All Schools,Non-Title I,100,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,McNair Elementary,Low Poverty,All Schools,100,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,McNair Elementary,Low Poverty,Non-Title I,100,1,0,0
2023 - 2024,SCH,Fairfax County Public Schools,McNair Upper Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,McNair Upper Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,McNair Upper Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,McNair Upper Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Mosaic Elementary,All Schools,All Schools,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Mosaic Elementary,All Schools,Non-Title I,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Mosaic Elementary,Low Poverty,All Schools,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Mosaic Elementary,Low Poverty,Non-Title I,0,0,33.3,1
2023 - 2024,SCH,Fairfax County Public Schools,Mount Eagle Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Mount Eagle Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Mount Vernon High,All Schools,All Schools,0,0,16.7,1
2023 - 2024,SCH,Fairfax County Public Schools,Mount Vernon High,All Schools,Non-Title I,0,0,16.7,1
2023 - 2024,SCH,Fairfax County Public Schools,Mount Vernon Woods Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Mount Vernon Woods Elementary,All Schools,Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Mountain View High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Mountain View High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Navy Elementary,All Schools,All Schools,100,1,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Navy Elementary,All Schools,Non-Title I,100,1,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Navy Elementary,Low Poverty,All Schools,100,1,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Navy Elementary,Low Poverty,Non-Title I,100,1,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Newington Forest Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Newington Forest Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Newington Forest Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Newington Forest Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,North Springfield Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,North Springfield Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Oak Hill Elementary,All Schools,All Schools,100,1,100,1
2023 - 2024,SCH,Fairfax County Public Schools,Oak Hill Elementary,All Schools,Non-Title I,100,1,100,1
2023 - 2024,SCH,Fairfax County Public Schools,Oak Hill Elementary,Low Poverty,All Schools,100,1,100,1
2023 - 2024,SCH,Fairfax County Public Schools,Oak Hill Elementary,Low Poverty,Non-Title I,100,1,100,1
2023 - 2024,SCH,Fairfax County Public Schools,Oak View Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Oak View Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Oak View Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Oak View Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Fairfax County Public Schools,Oakton Elementary,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Oakton Elementary,All Schools,Non-Title I,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Oakton Elementary,Low Poverty,All Schools,0,0,50,1
2023 - 2024,SCH,Fairfax County Public Schools,Oakton Elementary,Low Poverty,Non-Title I,0,0,50,1
