Inexperienced School Leaders,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Principals,Number of Inexperienced Principals,Percent of Inexperienced Assistant Principals,Number of Inexperienced Assistant Principals
2023 - 2024,SCH,Albemarle County Public Schools,Brownsville Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Brownsville Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Brownsville Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Community Lab School,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Albemarle County Public Schools,Community Lab School,All Schools,Non-Title I,0,0,100,1
2023 - 2024,SCH,Albemarle County Public Schools,Community Lab School,Low Poverty,All Schools,0,0,100,1
2023 - 2024,SCH,Albemarle County Public Schools,Community Lab School,Low Poverty,Non-Title I,0,0,100,1
2023 - 2024,SCH,Albemarle County Public Schools,Crozet Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Crozet Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Crozet Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Crozet Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Hollymead Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Hollymead Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Hollymead Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Hollymead Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Ivy Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Ivy Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Ivy Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Ivy Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Jackson P. Burley Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Jackson P. Burley Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Joseph T. Henley Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Joseph T. Henley Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Joseph T. Henley Middle,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Joseph T. Henley Middle,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Journey Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Journey Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Lakeside Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Lakeside Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Lakeside Middle,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Lakeside Middle,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Leslie H. Walton Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Leslie H. Walton Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Mary Carr Greer Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Albemarle County Public Schools,Mary Carr Greer Elementary,All Schools,Title I,0,0,100,1
2023 - 2024,SCH,Albemarle County Public Schools,Monticello High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Monticello High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Monticello High,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Monticello High,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Mountain View Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Mountain View Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Red Hill Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Red Hill Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Scottsville Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Scottsville Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Stone Robinson Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Stone Robinson Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Stone Robinson Elementary,Low Poverty,All Schools,0,0,0,0
