On-time Graduation Rate,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Level,Division,School,Subgroup,Cohort,Graduation Count,Virginia On-Time Graduation Rate,Completer Count,Completion Rate
2023,SCH,Albemarle County Public Schools,Community Lab School,Multiple Races,<,<,100,<,100
2023,SCH,Albemarle County Public Schools,Community Lab School,Students with Disabilities,<,<,100,<,100
2023,SCH,Albemarle County Public Schools,Community Lab School,White,14,14,100,14,100
2023,SCH,Albemarle County Public Schools,Monticello High,All Students,295,280,94.9,283,95.9
2023,SCH,Albemarle County Public Schools,Monticello High,Asian,10,10,100,10,100
2023,SCH,Albemarle County Public Schools,Monticello High,Black,39,38,97.4,38,97.4
2023,SCH,Albemarle County Public Schools,Monticello High,Economically Disadvantaged,114,104,91.2,106,93
2023,SCH,Albemarle County Public Schools,Monticello High,English Learners,18,16,88.9,16,88.9
2023,SCH,Albemarle County Public Schools,Monticello High,Female,147,138,93.9,139,94.6
2023,SCH,Albemarle County Public Schools,Monticello High,Hispanic,57,55,96.5,55,96.5
2023,SCH,Albemarle County Public Schools,Monticello High,Homeless,<,<,100,<,100
2023,SCH,Albemarle County Public Schools,Monticello High,Male,148,142,95.9,144,97.3
2023,SCH,Albemarle County Public Schools,Monticello High,Military Connected,<,<,100,<,100
2023,SCH,Albemarle County Public Schools,Monticello High,Multiple Races,18,15,83.3,16,88.9
2023,SCH,Albemarle County Public Schools,Monticello High,Native Hawaiian,<,<,100,<,100
2023,SCH,Albemarle County Public Schools,Monticello High,Students with Disabilities,31,28,90.3,28,90.3
2023,SCH,Albemarle County Public Schools,Monticello High,White,170,161,94.7,163,95.9
2023,SCH,Albemarle County Public Schools,Western Albemarle High,All Students,263,250,95.1,253,96.2
2023,SCH,Albemarle County Public Schools,Western Albemarle High,Asian,<,<,100,<,100
2023,SCH,Albemarle County Public Schools,Western Albemarle High,Black,<,<,100,<,100
2023,SCH,Albemarle County Public Schools,Western Albemarle High,Economically Disadvantaged,34,28,82.4,28,82.4
2023,SCH,Albemarle County Public Schools,Western Albemarle High,English Learners,<,<,100,<,100
2023,SCH,Albemarle County Public Schools,Western Albemarle High,Female,108,107,99.1,107,99.1
2023,SCH,Albemarle County Public Schools,Western Albemarle High,Foster Care,<,<,<,<,<
2023,SCH,Albemarle County Public Schools,Western Albemarle High,Hispanic,11,10,90.9,10,90.9
2023,SCH,Albemarle County Public Schools,Western Albemarle High,Homeless,<,<,<,<,<
2023,SCH,Albemarle County Public Schools,Western Albemarle High,Male,155,143,92.3,146,94.2
2023,SCH,Albemarle County Public Schools,Western Albemarle High,Military Connected,<,<,<,<,<
2023,SCH,Albemarle County Public Schools,Western Albemarle High,Multiple Races,<,<,<,<,<
2023,SCH,Albemarle County Public Schools,Western Albemarle High,Students with Disabilities,33,28,84.8,30,90.9
2023,SCH,Albemarle County Public Schools,Western Albemarle High,White,237,226,95.4,229,96.6
2023,SCH,Alexandria City Public Schools,Alexandria City High,All Students,1006,873,86.8,889,88.4
2023,SCH,Alexandria City Public Schools,Alexandria City High,American Indian,<,<,<,<,<
2023,SCH,Alexandria City Public Schools,Alexandria City High,Asian,59,56,94.9,56,94.9
2023,SCH,Alexandria City Public Schools,Alexandria City High,Black,259,226,87.3,231,89.2
2023,SCH,Alexandria City Public Schools,Alexandria City High,Economically Disadvantaged,543,480,88.4,489,90.1
2023,SCH,Alexandria City Public Schools,Alexandria City High,English Learners,261,208,79.7,208,79.7
2023,SCH,Alexandria City Public Schools,Alexandria City High,Female,509,466,91.6,475,93.3
2023,SCH,Alexandria City Public Schools,Alexandria City High,Foster Care,<,<,100,<,100
2023,SCH,Alexandria City Public Schools,Alexandria City High,Hispanic,399,310,77.7,318,79.7
2023,SCH,Alexandria City Public Schools,Alexandria City High,Homeless,12,10,83.3,10,83.3
2023,SCH,Alexandria City Public Schools,Alexandria City High,Male,497,407,81.9,414,83.3
2023,SCH,Alexandria City Public Schools,Alexandria City High,Military Connected,<,<,100,<,100
2023,SCH,Alexandria City Public Schools,Alexandria City High,Multiple Races,21,21,100,21,100
2023,SCH,Alexandria City Public Schools,Alexandria City High,Students with Disabilities,86,73,84.9,75,87.2
2023,SCH,Alexandria City Public Schools,Alexandria City High,White,266,259,97.4,261,98.1
2023,SCH,Alleghany Highlands Public Schools,Alleghany High,All Students,208,176,84.6,182,87.5
2023,SCH,Alleghany Highlands Public Schools,Alleghany High,American Indian,<,<,<,<,<
2023,SCH,Alleghany Highlands Public Schools,Alleghany High,Asian,<,<,100,<,100
2023,SCH,Alleghany Highlands Public Schools,Alleghany High,Black,17,13,76.5,14,82.4
2023,SCH,Alleghany Highlands Public Schools,Alleghany High,Economically Disadvantaged,94,72,76.6,76,80.9
2023,SCH,Alleghany Highlands Public Schools,Alleghany High,English Learners,<,<,100,<,100
2023,SCH,Alleghany Highlands Public Schools,Alleghany High,Female,99,84,84.8,86,86.9
2023,SCH,Alleghany Highlands Public Schools,Alleghany High,Foster Care,<,<,100,<,100
2023,SCH,Alleghany Highlands Public Schools,Alleghany High,Hispanic,<,<,<,<,<
2023,SCH,Alleghany Highlands Public Schools,Alleghany High,Male,109,92,84.4,96,88.1
2023,SCH,Alleghany Highlands Public Schools,Alleghany High,Multiple Races,<,<,<,<,<
2023,SCH,Alleghany Highlands Public Schools,Alleghany High,Students with Disabilities,26,24,92.3,25,96.2
2023,SCH,Alleghany Highlands Public Schools,Alleghany High,White,175,152,86.9,156,89.1
2023,SCH,Amelia County Public Schools,Amelia County High,All Students,127,110,86.6,111,87.4
2023,SCH,Amelia County Public Schools,Amelia County High,Black,31,29,93.5,29,93.5
2023,SCH,Amelia County Public Schools,Amelia County High,Economically Disadvantaged,64,50,78.1,51,79.7
2023,SCH,Amelia County Public Schools,Amelia County High,English Learners,<,<,100,<,100
2023,SCH,Amelia County Public Schools,Amelia County High,Female,57,52,91.2,52,91.2
2023,SCH,Amelia County Public Schools,Amelia County High,Foster Care,<,<,100,<,100
2023,SCH,Amelia County Public Schools,Amelia County High,Hispanic,<,<,100,<,100
2023,SCH,Amelia County Public Schools,Amelia County High,Homeless,<,<,100,<,100
2023,SCH,Amelia County Public Schools,Amelia County High,Male,70,58,82.9,59,84.3
2023,SCH,Amelia County Public Schools,Amelia County High,Military Connected,<,<,<,<,<
2023,SCH,Amelia County Public Schools,Amelia County High,Multiple Races,11,10,90.9,10,90.9
2023,SCH,Amelia County Public Schools,Amelia County High,Students with Disabilities,20,10,50,11,55
2023,SCH,Amelia County Public Schools,Amelia County High,White,78,64,82.1,65,83.3
2023,SCH,Amherst County Public Schools,Amherst County High,All Students,298,281,94.3,284,95.3
2023,SCH,Amherst County Public Schools,Amherst County High,American Indian,<,<,100,<,100
2023,SCH,Amherst County Public Schools,Amherst County High,Black,56,54,96.4,54,96.4
2023,SCH,Amherst County Public Schools,Amherst County High,Economically Disadvantaged,144,130,90.3,133,92.4
2023,SCH,Amherst County Public Schools,Amherst County High,English Learners,<,<,100,<,100
2023,SCH,Amherst County Public Schools,Amherst County High,Female,138,132,95.7,133,96.4
2023,SCH,Amherst County Public Schools,Amherst County High,Foster Care,<,<,<,<,<
2023,SCH,Amherst County Public Schools,Amherst County High,Hispanic,11,11,100,11,100
2023,SCH,Amherst County Public Schools,Amherst County High,Homeless,<,<,100,<,100
2023,SCH,Amherst County Public Schools,Amherst County High,Male,160,149,93.1,151,94.4
2023,SCH,Amherst County Public Schools,Amherst County High,Military Connected,<,<,100,<,100
2023,SCH,Amherst County Public Schools,Amherst County High,Multiple Races,30,30,100,30,100
2023,SCH,Amherst County Public Schools,Amherst County High,Students with Disabilities,36,34,94.4,34,94.4
2023,SCH,Amherst County Public Schools,Amherst County High,White,199,184,92.5,187,94
2023,SCH,Appomattox County Public Schools,Appomattox County High,All Students,177,152,85.9,163,92.1
2023,SCH,Appomattox County Public Schools,Appomattox County High,Asian,<,<,100,<,100
2023,SCH,Appomattox County Public Schools,Appomattox County High,Black,32,27,84.4,29,90.6
2023,SCH,Appomattox County Public Schools,Appomattox County High,Economically Disadvantaged,82,60,73.2,69,84.1
2023,SCH,Appomattox County Public Schools,Appomattox County High,English Learners,<,<,<,<,<
2023,SCH,Appomattox County Public Schools,Appomattox County High,Female,91,85,93.4,87,95.6
2023,SCH,Appomattox County Public Schools,Appomattox County High,Foster Care,<,<,100,<,100
2023,SCH,Appomattox County Public Schools,Appomattox County High,Hispanic,<,<,<,<,<
2023,SCH,Appomattox County Public Schools,Appomattox County High,Male,86,67,77.9,76,88.4
2023,SCH,Appomattox County Public Schools,Appomattox County High,Military Connected,<,<,<,<,<
2023,SCH,Appomattox County Public Schools,Appomattox County High,Multiple Races,16,15,93.8,15,93.8
2023,SCH,Appomattox County Public Schools,Appomattox County High,Students with Disabilities,16,13,81.3,14,87.5
2023,SCH,Appomattox County Public Schools,Appomattox County High,White,119,103,86.6,111,93.3
2023,SCH,Arlington County Public Schools,Arlington Community High,All Students,63,28,44.4,28,44.4
2023,SCH,Arlington County Public Schools,Arlington Community High,Asian,<,<,100,<,100
2023,SCH,Arlington County Public Schools,Arlington Community High,Black,<,<,<,<,<
2023,SCH,Arlington County Public Schools,Arlington Community High,Economically Disadvantaged,38,19,50,19,50
2023,SCH,Arlington County Public Schools,Arlington Community High,English Learners,28,9,32.1,9,32.1
2023,SCH,Arlington County Public Schools,Arlington Community High,Female,28,14,50,14,50
2023,SCH,Arlington County Public Schools,Arlington Community High,Hispanic,46,14,30.4,14,30.4
2023,SCH,Arlington County Public Schools,Arlington Community High,Homeless,<,<,100,<,100
2023,SCH,Arlington County Public Schools,Arlington Community High,Male,34,13,38.2,13,38.2
2023,SCH,Arlington County Public Schools,Arlington Community High,Military Connected,<,<,<,<,<
2023,SCH,Arlington County Public Schools,Arlington Community High,Multiple Races,<,<,<,<,<
2023,SCH,Arlington County Public Schools,Arlington Community High,Students with Disabilities,<,<,<,<,<
2023,SCH,Arlington County Public Schools,Arlington Community High,White,<,<,100,<,100
2023,SCH,Arlington County Public Schools,Wakefield High,All Students,629,593,94.3,597,94.9
2023,SCH,Arlington County Public Schools,Wakefield High,Asian,39,38,97.4,39,100
2023,SCH,Arlington County Public Schools,Wakefield High,Black,130,117,90,117,90
2023,SCH,Arlington County Public Schools,Wakefield High,Economically Disadvantaged,325,303,93.2,305,93.8
2023,SCH,Arlington County Public Schools,Wakefield High,English Learners,104,95,91.3,98,94.2
2023,SCH,Arlington County Public Schools,Wakefield High,Female,328,313,95.4,315,96
2023,SCH,Arlington County Public Schools,Wakefield High,Foster Care,<,<,<,<,<
2023,SCH,Arlington County Public Schools,Wakefield High,Hispanic,267,250,93.6,252,94.4
2023,SCH,Arlington County Public Schools,Wakefield High,Homeless,<,<,<,<,<
2023,SCH,Arlington County Public Schools,Wakefield High,Male,299,278,93,280,93.6
2023,SCH,Arlington County Public Schools,Wakefield High,Military Connected,31,29,93.5,30,96.8
2023,SCH,Arlington County Public Schools,Wakefield High,Multiple Races,32,30,93.8,30,93.8
2023,SCH,Arlington County Public Schools,Wakefield High,Native Hawaiian,<,<,100,<,100
2023,SCH,Arlington County Public Schools,Wakefield High,Students with Disabilities,101,94,93.1,95,94.1
2023,SCH,Arlington County Public Schools,Wakefield High,White,160,157,98.1,158,98.8
2023,SCH,Arlington County Public Schools,Washington-Liberty High,All Students,625,590,94.4,604,96.6
2023,SCH,Arlington County Public Schools,Washington-Liberty High,American Indian,<,<,100,<,100
2023,SCH,Arlington County Public Schools,Washington-Liberty High,Asian,64,63,98.4,63,98.4
2023,SCH,Arlington County Public Schools,Washington-Liberty High,Black,45,42,93.3,42,93.3
2023,SCH,Arlington County Public Schools,Washington-Liberty High,Economically Disadvantaged,232,207,89.2,221,95.3
2023,SCH,Arlington County Public Schools,Washington-Liberty High,English Learners,90,65,72.2,78,86.7
2023,SCH,Arlington County Public Schools,Washington-Liberty High,Female,322,307,95.3,315,97.8
2023,SCH,Arlington County Public Schools,Washington-Liberty High,Foster Care,<,<,<,<,<
2023,SCH,Arlington County Public Schools,Washington-Liberty High,Hispanic,211,181,85.8,195,92.4
2023,SCH,Arlington County Public Schools,Washington-Liberty High,Homeless,<,<,<,<,<
2023,SCH,Arlington County Public Schools,Washington-Liberty High,Male,303,283,93.4,289,95.4
2023,SCH,Arlington County Public Schools,Washington-Liberty High,Military Connected,20,20,100,20,100
2023,SCH,Arlington County Public Schools,Washington-Liberty High,Multiple Races,53,53,100,53,100
2023,SCH,Arlington County Public Schools,Washington-Liberty High,Students with Disabilities,85,77,90.6,81,95.3
2023,SCH,Arlington County Public Schools,Washington-Liberty High,White,251,250,99.6,250,99.6
2023,SCH,Arlington County Public Schools,Yorktown High,All Students,570,549,96.3,550,96.5
2023,SCH,Arlington County Public Schools,Yorktown High,American Indian,<,<,100,<,100
2023,SCH,Arlington County Public Schools,Yorktown High,Asian,39,37,94.9,37,94.9
2023,SCH,Arlington County Public Schools,Yorktown High,Black,38,35,92.1,35,92.1
2023,SCH,Arlington County Public Schools,Yorktown High,Economically Disadvantaged,97,88,90.7,89,91.8
2023,SCH,Arlington County Public Schools,Yorktown High,English Learners,37,32,86.5,32,86.5
2023,SCH,Arlington County Public Schools,Yorktown High,Female,275,265,96.4,265,96.4
2023,SCH,Arlington County Public Schools,Yorktown High,Foster Care,<,<,100,<,100
2023,SCH,Arlington County Public Schools,Yorktown High,Hispanic,94,82,87.2,83,88.3
2023,SCH,Arlington County Public Schools,Yorktown High,Homeless,<,<,100,<,100
2023,SCH,Arlington County Public Schools,Yorktown High,Male,295,284,96.3,285,96.6
2023,SCH,Arlington County Public Schools,Yorktown High,Military Connected,23,22,95.7,22,95.7
2023,SCH,Arlington County Public Schools,Yorktown High,Multiple Races,43,43,100,43,100
2023,SCH,Arlington County Public Schools,Yorktown High,Students with Disabilities,80,78,97.5,79,98.8
2023,SCH,Arlington County Public Schools,Yorktown High,White,355,351,98.9,351,98.9
2023,SCH,Augusta County Public Schools,Buffalo Gap High,All Students,104,97,93.3,97,93.3
2023,SCH,Augusta County Public Schools,Buffalo Gap High,Economically Disadvantaged,37,35,94.6,35,94.6
2023,SCH,Augusta County Public Schools,Buffalo Gap High,Female,42,40,95.2,40,95.2
2023,SCH,Augusta County Public Schools,Buffalo Gap High,Foster Care,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Buffalo Gap High,Hispanic,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Buffalo Gap High,Homeless,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Buffalo Gap High,Male,62,57,91.9,57,91.9
2023,SCH,Augusta County Public Schools,Buffalo Gap High,Military Connected,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Buffalo Gap High,Multiple Races,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Buffalo Gap High,Students with Disabilities,13,12,92.3,12,92.3
2023,SCH,Augusta County Public Schools,Buffalo Gap High,White,99,92,92.9,92,92.9
2023,SCH,Augusta County Public Schools,Fort Defiance High,All Students,167,162,97,163,97.6
2023,SCH,Augusta County Public Schools,Fort Defiance High,American Indian,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Fort Defiance High,Asian,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Fort Defiance High,Black,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Fort Defiance High,Economically Disadvantaged,67,62,92.5,63,94
2023,SCH,Augusta County Public Schools,Fort Defiance High,English Learners,<,<,<,<,<
2023,SCH,Augusta County Public Schools,Fort Defiance High,Female,74,72,97.3,72,97.3
2023,SCH,Augusta County Public Schools,Fort Defiance High,Foster Care,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Fort Defiance High,Hispanic,25,24,96,24,96
2023,SCH,Augusta County Public Schools,Fort Defiance High,Homeless,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Fort Defiance High,Male,93,90,96.8,91,97.8
2023,SCH,Augusta County Public Schools,Fort Defiance High,Military Connected,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Fort Defiance High,Multiple Races,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Fort Defiance High,Students with Disabilities,19,19,100,19,100
2023,SCH,Augusta County Public Schools,Fort Defiance High,White,135,131,97,132,97.8
2023,SCH,Augusta County Public Schools,Riverheads High,All Students,114,108,94.7,111,97.4
2023,SCH,Augusta County Public Schools,Riverheads High,Asian,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Riverheads High,Black,<,<,<,<,<
2023,SCH,Augusta County Public Schools,Riverheads High,Economically Disadvantaged,34,31,91.2,33,97.1
2023,SCH,Augusta County Public Schools,Riverheads High,Female,54,52,96.3,54,100
2023,SCH,Augusta County Public Schools,Riverheads High,Foster Care,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Riverheads High,Hispanic,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Riverheads High,Male,60,56,93.3,57,95
2023,SCH,Augusta County Public Schools,Riverheads High,Military Connected,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Riverheads High,Multiple Races,<,<,<,<,<
2023,SCH,Augusta County Public Schools,Riverheads High,Students with Disabilities,10,10,100,10,100
2023,SCH,Augusta County Public Schools,Riverheads High,White,103,99,96.1,101,98.1
2023,SCH,Augusta County Public Schools,Stuarts Draft High,All Students,180,172,95.6,177,98.3
2023,SCH,Augusta County Public Schools,Stuarts Draft High,American Indian,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Stuarts Draft High,Asian,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Stuarts Draft High,Black,<,<,<,<,<
2023,SCH,Augusta County Public Schools,Stuarts Draft High,Economically Disadvantaged,73,68,93.2,72,98.6
2023,SCH,Augusta County Public Schools,Stuarts Draft High,English Learners,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Stuarts Draft High,Female,81,77,95.1,80,98.8
2023,SCH,Augusta County Public Schools,Stuarts Draft High,Foster Care,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Stuarts Draft High,Hispanic,11,11,100,11,100
2023,SCH,Augusta County Public Schools,Stuarts Draft High,Homeless,<,<,<,<,<
2023,SCH,Augusta County Public Schools,Stuarts Draft High,Male,99,95,96,97,98
2023,SCH,Augusta County Public Schools,Stuarts Draft High,Military Connected,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Stuarts Draft High,Multiple Races,11,11,100,11,100
2023,SCH,Augusta County Public Schools,Stuarts Draft High,Students with Disabilities,18,16,88.9,17,94.4
2023,SCH,Augusta County Public Schools,Stuarts Draft High,White,147,140,95.2,144,98
2023,SCH,Augusta County Public Schools,Wilson Memorial High,All Students,203,185,91.1,192,94.6
2023,SCH,Augusta County Public Schools,Wilson Memorial High,Asian,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Wilson Memorial High,Black,10,8,80,8,80
2023,SCH,Augusta County Public Schools,Wilson Memorial High,Economically Disadvantaged,66,54,81.8,58,87.9
2023,SCH,Augusta County Public Schools,Wilson Memorial High,English Learners,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Wilson Memorial High,Female,107,101,94.4,103,96.3
2023,SCH,Augusta County Public Schools,Wilson Memorial High,Foster Care,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Wilson Memorial High,Hispanic,13,11,84.6,12,92.3
2023,SCH,Augusta County Public Schools,Wilson Memorial High,Male,96,84,87.5,89,92.7
2023,SCH,Augusta County Public Schools,Wilson Memorial High,Military Connected,<,<,100,<,100
2023,SCH,Augusta County Public Schools,Wilson Memorial High,Multiple Races,10,9,90,10,100
2023,SCH,Augusta County Public Schools,Wilson Memorial High,Students with Disabilities,14,12,85.7,12,85.7
2023,SCH,Augusta County Public Schools,Wilson Memorial High,White,167,154,92.2,159,95.2
2023,SCH,Bath County Public Schools,Bath County High,All Students,34,32,94.1,32,94.1
2023,SCH,Bath County Public Schools,Bath County High,Economically Disadvantaged,14,13,92.9,13,92.9
2023,SCH,Bath County Public Schools,Bath County High,Female,17,16,94.1,16,94.1
2023,SCH,Bath County Public Schools,Bath County High,Hispanic,<,<,100,<,100
2023,SCH,Bath County Public Schools,Bath County High,Male,17,16,94.1,16,94.1
2023,SCH,Bath County Public Schools,Bath County High,Students with Disabilities,<,<,100,<,100
2023,SCH,Bath County Public Schools,Bath County High,White,33,31,93.9,31,93.9
2023,SCH,Bedford County Public Schools,Jefferson Forest High,All Students,356,344,96.6,346,97.2
2023,SCH,Bedford County Public Schools,Jefferson Forest High,Asian,13,12,92.3,12,92.3
2023,SCH,Bedford County Public Schools,Jefferson Forest High,Black,31,31,100,31,100
2023,SCH,Bedford County Public Schools,Jefferson Forest High,Economically Disadvantaged,65,61,93.8,62,95.4
2023,SCH,Bedford County Public Schools,Jefferson Forest High,English Learners,<,<,<,<,<
2023,SCH,Bedford County Public Schools,Jefferson Forest High,Female,168,164,97.6,165,98.2
2023,SCH,Bedford County Public Schools,Jefferson Forest High,Foster Care,<,<,100,<,100
2023,SCH,Bedford County Public Schools,Jefferson Forest High,Hispanic,20,15,75,15,75
2023,SCH,Bedford County Public Schools,Jefferson Forest High,Male,188,180,95.7,181,96.3
2023,SCH,Bedford County Public Schools,Jefferson Forest High,Military Connected,<,<,100,<,100
2023,SCH,Bedford County Public Schools,Jefferson Forest High,Multiple Races,21,20,95.2,20,95.2
2023,SCH,Bedford County Public Schools,Jefferson Forest High,Students with Disabilities,32,31,96.9,31,96.9
2023,SCH,Bedford County Public Schools,Jefferson Forest High,White,271,266,98.2,268,98.9
2023,SCH,Bedford County Public Schools,Liberty High,All Students,200,177,88.5,189,94.5
2023,SCH,Bedford County Public Schools,Liberty High,Asian,<,<,100,<,100
2023,SCH,Bedford County Public Schools,Liberty High,Black,20,19,95,19,95
2023,SCH,Bedford County Public Schools,Liberty High,Economically Disadvantaged,94,80,85.1,87,92.6
2023,SCH,Bedford County Public Schools,Liberty High,Female,98,85,86.7,90,91.8
2023,SCH,Bedford County Public Schools,Liberty High,Foster Care,<,<,100,<,100
2023,SCH,Bedford County Public Schools,Liberty High,Hispanic,<,<,<,<,<
2023,SCH,Bedford County Public Schools,Liberty High,Homeless,<,<,<,<,<
