Per Pupil Spending,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Level Code,Division,School,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Elementary,607.33,303,11099,11401,516,7212,7728,19129,0,11617783,819,18311
2023 - 2024,SCH,Fairfax County Public Schools,Hayfield Secondary,3220.22,294,10564,10857,516,7212,7728,18585,0,59849031,810,17776
2023 - 2024,SCH,Fairfax County Public Schools,Herndon Elementary,800.08,1269,13013,14282,516,7212,7728,22010,0,17609611,1785,20225
2023 - 2024,SCH,Fairfax County Public Schools,Herndon High,2336.31,302,11993,12294,516,7212,7728,20022,0,46778459,818,19205
2023 - 2024,SCH,Fairfax County Public Schools,Herndon Middle,906.44,1050,14317,15367,516,7212,7728,23095,0,20934135,1566,21529
2023 - 2024,SCH,Fairfax County Public Schools,Hollin Meadows Elementary,607.12,1312,12361,13672,516,7212,7728,21400,0,12992486,1828,19573
2023 - 2024,SCH,Fairfax County Public Schools,Holmes Middle,892.43,330,13850,14180,516,7212,7728,21908,0,19551131,846,21062
2023 - 2024,SCH,Fairfax County Public Schools,Hughes Middle,999.98,414,11896,12309,516,7212,7728,20037,0,20036635,930,19108
2023 - 2024,SCH,Fairfax County Public Schools,Hunt Valley Elementary,753.24,252,11319,11571,516,7212,7728,19299,0,14536641,768,18531
2023 - 2024,SCH,Fairfax County Public Schools,Hunters Woods Elementary School for the Arts and Sciences,684.08,259,12170,12429,516,7212,7728,20157,0,13789011,775,19382
2023 - 2024,SCH,Fairfax County Public Schools,Hutchison Elementary,1004.88,1824,13756,15579,516,7212,7728,23307,0,23421043,2340,20968
2023 - 2024,SCH,Fairfax County Public Schools,Hybla Valley Elementary,881.11,1512,11977,13489,516,7212,7728,21216,0,18694049,2028,19189
2023 - 2024,SCH,Fairfax County Public Schools,Irving Middle,1221.08,229,9959,10188,516,7212,7728,17916,0,21876868,745,17171
2023 - 2024,SCH,Fairfax County Public Schools,Island Creek Elementary,721.69,306,11629,11936,516,7212,7728,19664,0,14191049,822,18841
2023 - 2024,SCH,Fairfax County Public Schools,Jackson Middle,966.54,262,13049,13311,516,7212,7728,21039,0,20335221,778,20261
2023 - 2024,SCH,Fairfax County Public Schools,Johnson Middle,1154.94,382,11925,12307,516,7212,7728,20035,0,23139142,898,19137
2023 - 2024,SCH,Fairfax County Public Schools,Justice High,2382.19,319,11625,11944,516,7212,7728,19672,0,46861972,835,18837
2023 - 2024,SCH,Fairfax County Public Schools,Keene Mill Elementary,801.49,215,9513,9728,516,7212,7728,17456,0,13990484,731,16725
2023 - 2024,SCH,Fairfax County Public Schools,Kent Gardens Elementary,1013.07,236,9235,9471,516,7212,7728,17199,0,17423757,752,16447
2023 - 2024,SCH,Fairfax County Public Schools,Key Center,43.31,5541,60643,66184,516,7212,7728,73912,0,3201126,6057,67855
2023 - 2024,SCH,Fairfax County Public Schools,Key Middle,695.1,408,14458,14866,516,7212,7728,22594,0,15705096,924,21670
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Center,54.25,5251,47588,52839,516,7212,7728,60567,0,3285738,5767,54800
2023 - 2024,SCH,Fairfax County Public Schools,Kilmer Middle,1191.4,239,10035,10274,516,7212,7728,18002,0,21447207,755,17247
2023 - 2024,SCH,Fairfax County Public Schools,Kings Glen Elementary,473.79,345,11570,11915,516,7212,7728,19643,0,9306772,861,18782
2023 - 2024,SCH,Fairfax County Public Schools,Kings Park Elementary,678.02,349,13217,13566,516,7212,7728,21294,0,14437496,865,20429
2023 - 2024,SCH,Fairfax County Public Schools,Lake Anne Elementary,594.75,513,12206,12719,516,7212,7728,20447,0,12160768,1029,19418
2023 - 2024,SCH,Fairfax County Public Schools,Lake Braddock Secondary,4399.83,271,10307,10578,516,7212,7728,18306,11418,80543273,787,17519
2023 - 2024,SCH,Fairfax County Public Schools,Lane Elementary,752.61,253,10585,10838,516,7212,7728,18566,0,13973262,769,17797
2023 - 2024,SCH,Fairfax County Public Schools,Langley High,2122.25,225,9669,9894,516,7212,7728,17622,0,37398270,741,16881
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Hill Elementary,733.62,215,10914,11129,516,7212,7728,18857,0,13833592,731,18126
2023 - 2024,SCH,Fairfax County Public Schools,Laurel Ridge Elementary,812.55,373,12620,12993,516,7212,7728,20721,0,16836603,889,19832
2023 - 2024,SCH,Fairfax County Public Schools,Lees Corner Elementary,590.81,420,13190,13611,516,7212,7728,21338,0,12606975,936,20402
2023 - 2024,SCH,Fairfax County Public Schools,Lemon Road Elementary,578.76,234,10964,11198,516,7212,7728,18926,0,10953419,750,18176
2023 - 2024,SCH,Fairfax County Public Schools,Lewis High,1677.62,391,13475,13867,516,7212,7728,21594,0,36227327,907,20687
2023 - 2024,SCH,Fairfax County Public Schools,Liberty Middle,899.92,726,13555,14282,516,7212,7728,22009,0,19806757,1242,20767
2023 - 2024,SCH,Fairfax County Public Schools,Little Run Elementary,289.67,661,18318,18979,516,7212,7728,26707,0,7736229,1177,25530
2023 - 2024,SCH,Fairfax County Public Schools,London Towne Elementary,686.94,1053,13305,14358,516,7212,7728,22085,0,15171376,1569,20517
2023 - 2024,SCH,Fairfax County Public Schools,Longfellow Middle,1250.61,208,10528,10736,516,7212,7728,18464,0,23091140,724,17740
2023 - 2024,SCH,Fairfax County Public Schools,Lorton Station Elementary,745.6,1044,11129,12173,516,7212,7728,19901,0,14838167,1560,18341
2023 - 2024,SCH,Fairfax County Public Schools,Lynbrook Elementary,605.4,1369,14030,15399,516,7212,7728,23127,0,14001190,1885,21242
2023 - 2024,SCH,Fairfax County Public Schools,Madison High,2101.53,284,10975,11258,516,7212,7728,18986,0,39899861,800,18187
2023 - 2024,SCH,Fairfax County Public Schools,Mantua Elementary,962.13,205,11176,11381,516,7212,7728,19109,0,18385007,721,18388
2023 - 2024,SCH,Fairfax County Public Schools,Marshall High,2189.34,215,11159,11373,516,7212,7728,19101,0,41818890,731,18371
2023 - 2024,SCH,Fairfax County Public Schools,Marshall Road Elementary,689.43,446,12435,12881,516,7212,7728,20609,0,14208461,962,19647
2023 - 2024,SCH,Fairfax County Public Schools,Mason Crest Elementary,708.18,1087,12827,13913,516,7212,7728,21641,0,15325964,1603,20039
2023 - 2024,SCH,Fairfax County Public Schools,McLean High,2441.19,222,9722,9943,516,7212,7728,17671,0,43138825,738,16934
2023 - 2024,SCH,Fairfax County Public Schools,McNair Elementary,504.14,423,14291,14714,516,7212,7728,22442,0,11313790,939,21503
2023 - 2024,SCH,Fairfax County Public Schools,McNair Upper Elementary,611.44,271,10633,10903,516,7212,7728,18631,0,11391879,787,17845
2023 - 2024,SCH,Fairfax County Public Schools,Mosaic Elementary,967.22,288,9895,10182,516,7212,7728,17910,0,17322977,804,17107
2023 - 2024,SCH,Fairfax County Public Schools,Mount Eagle Elementary,329.65,1742,14035,15777,516,7212,7728,23505,0,7748384,2258,21247
2023 - 2024,SCH,Fairfax County Public Schools,Mount Vernon High,1913.9,370,13072,13442,516,7212,7728,21170,0,40517074,886,20284
2023 - 2024,SCH,Fairfax County Public Schools,Mount Vernon Woods Elementary,542.55,1825,12867,14693,516,7212,7728,22420,0,12164238,2341,20079
2023 - 2024,SCH,Fairfax County Public Schools,Mountain View High,146.32,1428,39193,40621,516,7212,7728,48349,0,7074439,1944,46405
2023 - 2024,SCH,Fairfax County Public Schools,Navy Elementary,852.47,244,10188,10432,516,7212,7728,18160,0,15480711,760,17400
2023 - 2024,SCH,Fairfax County Public Schools,Newington Forest Elementary,575.45,355,11727,12082,516,7212,7728,19810,0,11399649,871,18939
2023 - 2024,SCH,Fairfax County Public Schools,North Springfield Elementary,469.79,784,15973,16757,516,7212,7728,24485,0,11502966,1300,23185
2023 - 2024,SCH,Fairfax County Public Schools,Oak Hill Elementary,668.98,298,12272,12571,516,7212,7728,20298,0,13579261,814,19484
2023 - 2024,SCH,Fairfax County Public Schools,Oak View Elementary,777.08,287,9955,10242,516,7212,7728,17970,0,13963866,803,17167
2023 - 2024,SCH,Fairfax County Public Schools,Oakton Elementary,779.2,295,10491,10786,516,7212,7728,18514,0,14426226,811,17703
2023 - 2024,SCH,Fairfax County Public Schools,Oakton High,2626.68,215,9464,9680,516,7212,7728,17407,0,45723766,731,16676
2023 - 2024,SCH,Fairfax County Public Schools,Olde Creek Elementary,384.14,480,14476,14956,516,7212,7728,22684,0,8713919,996,21688
2023 - 2024,SCH,Fairfax County Public Schools,Orange Hunt Elementary,900.09,218,10130,10349,516,7212,7728,18077,0,16270546,734,17342
2023 - 2024,SCH,Fairfax County Public Schools,Parklawn Elementary,937.82,1127,11675,12802,516,7212,7728,20530,0,19253012,1643,18887
2023 - 2024,SCH,Fairfax County Public Schools,Pine Spring Elementary,608.18,1036,13551,14586,516,7212,7728,22314,0,13571091,1552,20763
2023 - 2024,SCH,Fairfax County Public Schools,Poe Middle,897.31,1406,14110,15516,516,7212,7728,23243,0,20856568,1922,21322
2023 - 2024,SCH,Fairfax County Public Schools,Poplar Tree Elementary,722.88,469,11117,11587,516,7212,7728,19315,0,13962130,985,18329
2023 - 2024,SCH,Fairfax County Public Schools,Powell Elementary,884.35,239,11976,12215,516,7212,7728,19943,0,17636378,755,19188
2023 - 2024,SCH,Fairfax County Public Schools,Providence Elementary,895.54,879,12552,13431,516,7212,7728,21159,0,18948619,1395,19764
2023 - 2024,SCH,Fairfax County Public Schools,Ravensworth Elementary,576.49,387,11133,11520,516,7212,7728,19248,0,11096126,903,18345
2023 - 2024,SCH,Fairfax County Public Schools,Riverside Elementary,712.45,1458,12612,14070,516,7212,7728,21798,0,15529903,1974,19824
2023 - 2024,SCH,Fairfax County Public Schools,Robinson Secondary,3671.91,227,10446,10674,516,7212,7728,18402,0,67569479,743,17658
2023 - 2024,SCH,Fairfax County Public Schools,Rocky Run Middle,887.37,348,11635,11983,516,7212,7728,19711,0,17491124,864,18847
2023 - 2024,SCH,Fairfax County Public Schools,Rolling Valley Elementary,540.62,471,12941,13412,516,7212,7728,21140,0,11428578,987,20153
2023 - 2024,SCH,Fairfax County Public Schools,Rose Hill Elementary,681.75,283,13193,13476,516,7212,7728,21204,0,14455753,799,20405
2023 - 2024,SCH,Fairfax County Public Schools,Sandburg Middle,1391.25,280,11012,11292,516,7212,7728,19020,0,26462119,796,18224
2023 - 2024,SCH,Fairfax County Public Schools,Sangster Elementary,892.63,183,9715,9898,516,7212,7728,17626,0,15733149,699,16927
2023 - 2024,SCH,Fairfax County Public Schools,Saratoga Elementary,589.07,387,12987,13374,516,7212,7728,21102,0,12430433,903,20199
2023 - 2024,SCH,Fairfax County Public Schools,Sherman Elementary,353.32,390,12643,13033,516,7212,7728,20761,0,7335186,906,19855
2023 - 2024,SCH,Fairfax County Public Schools,Shrevewood Elementary,642.43,200,10832,11032,516,7212,7728,18760,0,12051758,716,18044
2023 - 2024,SCH,Fairfax County Public Schools,Silverbrook Elementary,826.7,386,11081,11468,516,7212,7728,19196,0,15869031,902,18293
2023 - 2024,SCH,Fairfax County Public Schools,Sleepy Hollow Elementary,449.64,1648,14250,15898,516,7212,7728,23626,0,10623323,2164,21462
2023 - 2024,SCH,Fairfax County Public Schools,South County High,2194.15,251,10244,10495,516,7212,7728,18223,0,39983491,767,17456
2023 - 2024,SCH,Fairfax County Public Schools,South County Middle,960.22,345,11647,11992,516,7212,7728,19720,0,18935774,861,18859
2023 - 2024,SCH,Fairfax County Public Schools,South Lakes High,2467.42,303,11312,11614,516,7212,7728,19342,0,47725439,819,18524
2023 - 2024,SCH,Fairfax County Public Schools,Spring Hill Elementary,950.47,131,9124,9255,516,7212,7728,16983,0,16142067,647,16336
2023 - 2024,SCH,Fairfax County Public Schools,Springfield Estates Elementary,585.99,352,11625,11977,516,7212,7728,19705,0,11546803,868,18837
2023 - 2024,SCH,Fairfax County Public Schools,Stenwood Elementary,542.25,317,11869,12187,516,7212,7728,19914,0,10798603,833,19081
2023 - 2024,SCH,Fairfax County Public Schools,Stone Middle,707.32,449,13568,14017,516,7212,7728,21745,0,15380935,965,20780
2023 - 2024,SCH,Fairfax County Public Schools,Stratford Landing Elementary,717.82,221,9634,9855,516,7212,7728,17583,0,12621124,737,16846
2023 - 2024,SCH,Fairfax County Public Schools,Sunrise Valley Elementary,572,347,11894,12241,516,7212,7728,19969,0,11422274,863,19106
2023 - 2024,SCH,Fairfax County Public Schools,Terra Centre Elementary,641.6,341,11257,11598,516,7212,7728,19326,0,12399589,857,18469
2023 - 2024,SCH,Fairfax County Public Schools,Terraset Elementary,608.21,446,12492,12938,516,7212,7728,20666,0,12569163,962,19704
2023 - 2024,SCH,Fairfax County Public Schools,Thoreau Middle,1239.73,276,10557,10833,516,7212,7728,18561,0,23010263,792,17769
2023 - 2024,SCH,Fairfax County Public Schools,Timber Lane Elementary,644.73,1187,12420,13607,516,7212,7728,21335,0,13755246,1703,19632
2023 - 2024,SCH,Fairfax County Public Schools,Twain Middle,984.75,334,12905,13239,516,7212,7728,20967,0,20647545,850,20117
2023 - 2024,SCH,Fairfax County Public Schools,Union Mill Elementary,907.76,213,9904,10116,516,7212,7728,17844,0,16198401,729,17116
2023 - 2024,SCH,Fairfax County Public Schools,Vienna Elementary,377.43,549,13478,14027,516,7212,7728,21755,0,8211106,1065,20690
2023 - 2024,SCH,Fairfax County Public Schools,Virginia Run Elementary,708.49,330,12018,12348,516,7212,7728,20076,0,14223618,846,19230
2023 - 2024,SCH,Fairfax County Public Schools,Wakefield Forest Elementary,649.99,392,10823,11215,516,7212,7728,18943,0,12312848,908,18035
2023 - 2024,SCH,Fairfax County Public Schools,Waples Mill Elementary,816.02,242,11824,12066,516,7212,7728,19794,0,16151897,758,19036
2023 - 2024,SCH,Fairfax County Public Schools,Washington Mill Elementary,557.81,992,12374,13366,516,7212,7728,21094,0,11766373,1508,19586
2023 - 2024,SCH,Fairfax County Public Schools,Waynewood Elementary,728.14,217,9721,9938,516,7212,7728,17666,0,12863529,733,16933
2023 - 2024,SCH,Fairfax County Public Schools,West Potomac High,2678.86,286,12141,12427,516,7212,7728,20155,13684,53991589,802,19353
2023 - 2024,SCH,Fairfax County Public Schools,West Springfield Elementary,549.76,352,12729,13081,516,7212,7728,20809,0,11440080,868,19941
2023 - 2024,SCH,Fairfax County Public Schools,West Springfield High,2744.3,245,9517,9762,516,7212,7728,17490,0,47998368,761,16729
2023 - 2024,SCH,Fairfax County Public Schools,Westbriar Elementary,846.97,167,9457,9624,516,7212,7728,17352,0,14696461,683,16669
2023 - 2024,SCH,Fairfax County Public Schools,Westfield High,2738.03,240,10909,11149,516,7212,7728,18877,0,51685700,756,18121
2023 - 2024,SCH,Fairfax County Public Schools,Westgate Elementary,613.57,245,11620,11865,516,7212,7728,19593,0,12021590,761,18832
2023 - 2024,SCH,Fairfax County Public Schools,Westlawn Elementary,731.88,1486,12527,14013,516,7212,7728,21741,0,15911518,2002,19739
2023 - 2024,SCH,Fairfax County Public Schools,Weyanoke Elementary,564.98,1441,13909,15350,516,7212,7728,23078,0,13038443,1957,21121
2023 - 2024,SCH,Fairfax County Public Schools,White Oaks Elementary,726.2,274,11442,11716,516,7212,7728,19444,0,14120165,790,18654
2023 - 2024,SCH,Fairfax County Public Schools,Whitman Middle,823.36,493,13148,13641,516,7212,7728,21369,0,17594317,1009,20360
2023 - 2024,SCH,Fairfax County Public Schools,Willow Springs Elementary,852.33,338,11072,11410,516,7212,7728,19138,0,16312150,854,18284
2023 - 2024,SCH,Fairfax County Public Schools,Wolftrap Elementary,551.5,288,10636,10925,516,7212,7728,18652,0,10286821,804,17848
2023 - 2024,SCH,Fairfax County Public Schools,Woodburn Elementary,481.46,1210,13497,14708,516,7212,7728,22436,0,10801853,1726,20709
2023 - 2024,SCH,Fairfax County Public Schools,Woodlawn Elementary,464.25,1683,14460,16143,516,7212,7728,23871,0,11082263,2199,21672
2023 - 2024,SCH,Fairfax County Public Schools,Woodley Hills Elementary,523.55,1154,12967,14121,516,7212,7728,21849,0,11438872,1670,20179
2023 - 2024,SCH,Fairfax County Public Schools,Woodson High,2490.89,293,10928,11221,516,7212,7728,18949,0,47198977,809,18140
2023 - 2024,SCH,Falls Church City Public Schools,Mary Ellen Henderson Middle,617.56,247,14629,14877,43,7635,7678,22555,1634472,13929160,290,22264
2023 - 2024,SCH,Falls Church City Public Schools,Meridian High,881.89,271,16862,17133,43,7635,7678,24811,1101293,21880617,314,24497
2023 - 2024,SCH,Falls Church City Public Schools,Mount Daniel Elementary,485.9,241,15576,15817,43,7635,7678,23495,252269,11416337,284,23211
2023 - 2024,SCH,Falls Church City Public Schools,Oak Street Elementary,557.54,496,13837,14333,43,7635,7678,22011,298520,12272204,539,21472
2023 - 2024,SCH,Fauquier County Public Schools,Auburn Middle,582.4,159,10530,10689,117,2864,2980,13669,130089,7960999,276,13394
2023 - 2024,SCH,Fauquier County Public Schools,C. Hunter Ritchie Elementary,529.86,523,10501,11025,117,2864,2980,14005,1387,7420635,640,13365
2023 - 2024,SCH,Fauquier County Public Schools,C.M. Bradley Elementary,353.81,522,14238,14759,117,2864,2980,17739,856,6276320,639,17102
2023 - 2024,SCH,Fauquier County Public Schools,Cedar Lee Middle,851.05,156,10001,10157,117,2864,2980,13137,482720,11180056,273,12865
2023 - 2024,SCH,Fauquier County Public Schools,Claude Thompson Elementary,268.23,1432,13058,14490,117,2864,2980,17470,44592,4686003,1549,15922
2023 - 2024,SCH,Fauquier County Public Schools,Fauquier High,1141.17,486,13315,13801,117,2864,2980,16781,662406,19150010,603,16179
2023 - 2024,SCH,Fauquier County Public Schools,Grace Miller Elementary,513.89,723,11067,11790,117,2864,2980,14770,1269,7590130,840,13931
2023 - 2024,SCH,Fauquier County Public Schools,Greenville Elementary,460.95,525,11483,12008,117,2864,2980,14988,95014,6908918,642,14347
2023 - 2024,SCH,Fauquier County Public Schools,H.M. Pearson Elementary,379.75,833,11115,11948,117,2864,2980,14928,50945,5669092,950,13979
2023 - 2024,SCH,Fauquier County Public Schools,James G. Brumfield Elementary,520.02,521,11450,11971,117,2864,2980,14951,1257,7774829,638,14314
2023 - 2024,SCH,Fauquier County Public Schools,Kettle Run High,1159.76,489,10924,11413,117,2864,2980,14393,203897,16692581,606,13788
2023 - 2024,SCH,Fauquier County Public Schools,Liberty High,1316.59,493,11067,11560,117,2864,2980,14540,803766,19143346,610,13931
2023 - 2024,SCH,Fauquier County Public Schools,Margaret M. Pierce Elementary,536.24,946,10667,11613,117,2864,2980,14593,7995,7825404,1063,13531
2023 - 2024,SCH,Fauquier County Public Schools,Marshall Middle,416.29,147,13254,13401,117,2864,2980,16381,503866,6819148,264,16118
2023 - 2024,SCH,Fauquier County Public Schools,Mary Walter Elementary,407.19,786,11511,12296,117,2864,2980,15276,50980,6220391,903,14375
2023 - 2024,SCH,Fauquier County Public Schools,P.B. Smith Elementary,414.28,515,12033,12548,117,2864,2980,15528,15056,6433122,632,14897
2023 - 2024,SCH,Fauquier County Public Schools,W.C. Taylor Middle,610.12,152,10649,10801,117,2864,2980,13781,25502,8408098,269,13513
2023 - 2024,SCH,Fauquier County Public Schools,W.G. Coleman Elementary,326.37,514,13463,13977,117,2864,2980,16957,21960,5534325,631,16327
2023 - 2024,SCH,Floyd County Public Schools,Check Elementary,283.91,975,7613,8588,40,4612,4652,13240,0,3758910,1015,12225
2023 - 2024,SCH,Floyd County Public Schools,Floyd County High,675.02,527,8758,9285,40,4612,4652,13937,72906,9407579,567,13370
2023 - 2024,SCH,Floyd County Public Schools,Floyd Elementary,444.15,1100,8386,9486,40,4612,4652,14138,0,6279480,1140,12998
2023 - 2024,SCH,Floyd County Public Schools,Indian Valley Elementary,126.57,1296,9626,10922,40,4612,4652,15574,0,1971183,1336,14238
2023 - 2024,SCH,Floyd County Public Schools,Willis Elementary,167.38,374,8594,8968,40,4612,4652,13620,0,2279779,414,13206
2023 - 2024,SCH,Fluvanna County Public Schools,Carysbrook Elementary,462.2,1021,9137,10157,230,4385,4614,14771,387569,6827318,1251,13522
2023 - 2024,SCH,Fluvanna County Public Schools,Central Elementary,754.26,912,10470,11381,230,4385,4614,15996,611253,12064832,1142,14855
2023 - 2024,SCH,Fluvanna County Public Schools,Fluvanna County High,1388.72,258,9349,9606,230,4385,4614,14221,476422,19748674,488,13734
2023 - 2024,SCH,Fluvanna County Public Schools,Fluvanna Middle,731.83,465,9461,9926,230,4385,4614,14540,476657,10640952,695,13846
2023 - 2024,SCH,Franklin City Public Schools,Franklin High,367.43,367,10582,10949,2264,6103,8367,19316,2497832,7097327,2631,16685
2023 - 2024,SCH,Franklin City Public Schools,S.P. Morton Elementary,492.16,2051,8552,10602,2264,6103,8367,18970,1529219,9336098,4315,14655
2023 - 2024,SCH,Franklin County Public Schools,Benjamin Franklin Middle,1373.29,1234,9248,10482,235,4742,4976,15458,697753,21228447,1469,13990
2023 - 2024,SCH,Franklin County Public Schools,Boones Mill Elementary,266.56,1581,8850,10431,235,4742,4976,15408,182009,4107092,1816,13592
2023 - 2024,SCH,Franklin County Public Schools,Callaway Elementary,183.85,1566,8806,10372,235,4742,4976,15349,122505,2821831,1801,13548
2023 - 2024,SCH,Franklin County Public Schools,Dudley Elementary,199.6,1584,8867,10451,235,4742,4976,15428,123314,3079398,1819,13609
2023 - 2024,SCH,Franklin County Public Schools,Ferrum Elementary,211.12,1583,8638,10221,235,4742,4976,15198,153174,3208515,1818,13380
2023 - 2024,SCH,Franklin County Public Schools,Franklin County High,1831.03,709,10411,11121,235,4742,4976,16097,734279,29474165,944,15153
2023 - 2024,SCH,Franklin County Public Schools,Glade Hill Elementary,206.11,0,48,48,235,4742,4976,5024,92284,1035507,235,4790
2023 - 2024,SCH,Franklin County Public Schools,Lee M. Waid Elementary,403.13,1568,8701,10270,235,4742,4976,15246,288768,6146256,1803,13443
2023 - 2024,SCH,Franklin County Public Schools,Rocky Mount Elementary,281.23,1600,8900,10499,235,4742,4976,15476,223696,4352289,1835,13642
2023 - 2024,SCH,Franklin County Public Schools,Snow Creek Elementary,209.18,1572,8785,10356,235,4742,4976,15333,145846,3207284,1807,13527
2023 - 2024,SCH,Franklin County Public Schools,Sontag Elementary,215.38,1585,8840,10424,235,4742,4976,15401,169602,3317048,1820,13582
2023 - 2024,SCH,Franklin County Public Schools,Windy Gap Elementary,258.27,1559,8723,10283,235,4742,4976,15259,153460,3940940,1794,13465
2023 - 2024,SCH,Frederick County Public Schools,Admiral Richard E. Byrd Middle,811.7,144,11521,11665,204,3110,3314,14979,545921,12158051,348,14631
2023 - 2024,SCH,Frederick County Public Schools,Apple Pie Ridge Elementary,429.82,611,12257,12868,204,3110,3314,16182,370892,6955365,815,15367
2023 - 2024,SCH,Frederick County Public Schools,Armel Elementary,602.23,414,10009,10423,204,3110,3314,13737,2177742,8272764,618,13119
2023 - 2024,SCH,Frederick County Public Schools,Bass-Hoover Elementary,620.88,730,9977,10707,204,3110,3314,14020,324590,8705030,934,13087
2023 - 2024,SCH,Frederick County Public Schools,Evendale Elementary,594.75,618,10375,10993,204,3110,3314,14306,450034,8508702,822,13485
2023 - 2024,SCH,Frederick County Public Schools,Frederick County Middle,749.03,175,11287,11462,204,3110,3314,14775,506852,11067021,379,14397
2023 - 2024,SCH,Frederick County Public Schools,Gainesboro Elementary,485.6,807,11276,12083,204,3110,3314,15397,282402,7476568,1011,14386
2023 - 2024,SCH,Frederick County Public Schools,Greenwood Mill Elementary,586.74,285,9387,9672,204,3110,3314,12985,343638,7618892,489,12497
2023 - 2024,SCH,Frederick County Public Schools,Indian Hollow Elementary,385.54,962,12199,13161,204,3110,3314,16474,4179013,6351578,1166,15309
2023 - 2024,SCH,Frederick County Public Schools,James Wood High,1436.31,104,10590,10694,204,3110,3314,14008,23348488,20119861,308,13700
2023 - 2024,SCH,Frederick County Public Schools,James Wood Middle,837.15,258,11165,11423,204,3110,3314,14736,897326,12336594,462,14275
2023 - 2024,SCH,Frederick County Public Schools,Jordan Springs Elementary,621.34,673,10377,11050,204,3110,3314,14364,327460,8924709,877,13487
2023 - 2024,SCH,Frederick County Public Schools,Middletown Elementary,599.32,490,10047,10537,204,3110,3314,13851,299180,8300955,694,13157
2023 - 2024,SCH,Frederick County Public Schools,Millbrook High,1562.85,99,9681,9780,204,3110,3314,13093,3867251,20462552,303,12791
2023 - 2024,SCH,Frederick County Public Schools,Orchard View Elementary,456.56,509,11576,12085,204,3110,3314,15398,283360,7030266,713,14686
2023 - 2024,SCH,Frederick County Public Schools,Redbud Run Elementary,602.63,771,10993,11763,204,3110,3314,15077,425611,9085757,975,14103
2023 - 2024,SCH,Frederick County Public Schools,Robert E. Aylor Middle,817.2,176,10198,10374,204,3110,3314,13687,377358,11185197,380,13308
2023 - 2024,SCH,Frederick County Public Schools,Sherando High,1623.22,205,10321,10526,204,3110,3314,13840,1220016,22464706,409,13431
2023 - 2024,SCH,Frederick County Public Schools,Stonewall Elementary,389.01,769,11652,12421,204,3110,3314,15735,340433,6120905,973,14762
2023 - 2024,SCH,Fredericksburg City Public Schools,Hugh Mercer Elementary,840.44,2223,10222,12445,454,4560,5014,17459,97288,14673293,2677,14782
2023 - 2024,SCH,Fredericksburg City Public Schools,James Monroe High,970.49,1650,11732,13382,454,4560,5014,18396,166608,17852660,2104,16292
2023 - 2024,SCH,Fredericksburg City Public Schools,Lafayette Elementary,791.93,2236,11031,13267,454,4560,5014,18281,81193,14477115,2690,15591
2023 - 2024,SCH,Fredericksburg City Public Schools,Walker-Grant Middle,764.24,2827,9913,12740,454,4560,5014,17754,82960,13568341,3281,14473
2023 - 2024,SCH,Galax City Public Schools,Galax Elementary,684.32,1760,7672,9432,354,3747,4101,13533,883384,9261146,2114,11419
2023 - 2024,SCH,Galax City Public Schools,Galax High,404.27,711,11415,12127,354,3747,4101,16228,870099,6560481,1065,15162
2023 - 2024,SCH,Galax City Public Schools,Galax Middle,328.44,614,8159,8773,354,3747,4101,12874,1403,4228343,968,11906
2023 - 2024,SCH,Giles County Public Schools,Eastern Elementary/Middle ,453.75,1028,7312,8339,382,2675,3057,11396,31901,5171148,1410,9987
2023 - 2024,SCH,Giles County Public Schools,Giles County K-12 Virtual School,1293.26,0,7696,7696,382,2675,3057,10753,0,13906268,382,10371
2023 - 2024,SCH,Giles County Public Schools,Giles High,543.47,203,8957,9161,382,2675,3057,12218,11699,6639981,585,11632
2023 - 2024,SCH,Giles County Public Schools,Macy Mcclaugherty Elementary/Middle,466.36,899,8107,9006,382,2675,3057,12064,31901,5625951,1281,10782
2023 - 2024,SCH,Giles County Public Schools,Narrows Elementary/Middle ,501.48,1060,8087,9147,382,2675,3057,12204,31901,6120174,1442,10762
2023 - 2024,SCH,Giles County Public Schools,Narrows High,296.99,554,10099,10653,382,2675,3057,13710,0,4071655,936,12774
2023 - 2024,SCH,Gloucester County Public Schools,Abingdon Elementary,438,434,11124,11558,710,5233,5943,17500,289482,7665206,1144,16357
2023 - 2024,SCH,Gloucester County Public Schools,Achilles Elementary,434.3,381,10269,10650,710,5233,5943,16592,312592,7206072,1091,15502
2023 - 2024,SCH,Gloucester County Public Schools,Bethel Elementary,509.93,371,10038,10409,710,5233,5943,16352,327565,8338223,1081,15271
2023 - 2024,SCH,Gloucester County Public Schools,Botetourt Elementary,517.48,327,11559,11886,710,5233,5943,17829,308595,9226092,1037,16792
