Per Pupil Spending,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Level Code,Division,School,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2023 - 2024,SCH,Alexandria City Public Schools,George Mason Elementary,332.37,71,17911,17981,1059,5862,6921,24903,0,8276937,1130,23773
2023 - 2024,SCH,Alexandria City Public Schools,George Washington Middle,1367.19,11,14639,14651,1059,5862,6921,21572,0,29493312,1070,20501
2023 - 2024,SCH,Alexandria City Public Schools,James K. Polk Elementary,865.84,534,11064,11597,1059,5862,6921,18519,0,16034264,1593,16926
2023 - 2024,SCH,Alexandria City Public Schools,Jefferson-Houston PK-8 School,591.27,578,17267,17844,1059,5862,6921,24766,0,14643371,1637,23129
2023 - 2024,SCH,Alexandria City Public Schools,John Adams Elementary,767.07,913,14854,15767,1059,5862,6921,22688,0,17403534,1972,20716
2023 - 2024,SCH,Alexandria City Public Schools,Lyles-Crouch Elementary,439.79,45,12808,12854,1059,5862,6921,19775,1348,8696966,1104,18670
2023 - 2024,SCH,Alexandria City Public Schools,Mount Vernon Elementary,913.59,91,12721,12812,1059,5862,6921,19734,0,18028570,1150,18583
2023 - 2024,SCH,Alexandria City Public Schools,Naomi L. Brooks Elementary,341.95,0,14544,14544,1059,5862,6921,21466,0,7340274,1059,20406
2023 - 2024,SCH,Alexandria City Public Schools,Patrick Henry K-8 School,1063.03,392,10236,10628,1059,5862,6921,17550,4435,18655972,1451,16098
2023 - 2024,SCH,Alexandria City Public Schools,Samuel W. Tucker Elementary,734.63,455,13978,14433,1059,5862,6921,21354,13565,15687376,1514,19840
2023 - 2024,SCH,Alexandria City Public Schools,William Ramsay Elementary,668.93,636,14675,15311,1059,5862,6921,22233,0,14872040,1695,20537
2023 - 2024,SCH,Alleghany Highlands Public Schools,Alleghany High,820.05,716,8344,9060,168,5123,5291,14351,48104,11768394,884,13467
2023 - 2024,SCH,Alleghany Highlands Public Schools,Callaghan Elementary,255.44,1163,7787,8950,168,5123,5291,14241,0,3637764,1331,12910
2023 - 2024,SCH,Alleghany Highlands Public Schools,Covington Middle,598.82,775,7639,8414,168,5123,5291,13705,2507,8206752,943,12762
2023 - 2024,SCH,Alleghany Highlands Public Schools,Jeter-Watson Elementary,498.49,1099,9004,10103,168,5123,5291,15394,0,7673509,1267,14127
2023 - 2024,SCH,Alleghany Highlands Public Schools,Mountain View Elementary,426.41,1655,9687,11342,168,5123,5291,16633,0,7092480,1823,14810
2023 - 2024,SCH,Alleghany Highlands Public Schools,Sharon Elementary,195.68,1061,9965,11026,168,5123,5291,16317,0,3192943,1229,15088
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Elementary,746.08,1179,7494,8674,378,4505,4883,13557,9590,10114252,1557,11999
2023 - 2024,SCH,Amelia County Public Schools,Amelia County High,481.37,389,9182,9572,378,4505,4883,14455,511969,6958153,767,13687
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Middle,347.31,327,9488,9815,378,4505,4883,14698,480,5104668,705,13993
2023 - 2024,SCH,Amherst County Public Schools,Amelon Elementary,403.68,1067,9552,10619,159,3800,3959,14578,44047,5884997,1226,13352
2023 - 2024,SCH,Amherst County Public Schools,Amherst County High,1225.48,436,9807,10243,159,3800,3959,14202,386980,17404285,595,13607
2023 - 2024,SCH,Amherst County Public Schools,Amherst Elementary,267.1,1610,9413,11022,159,3800,3959,14982,30490,4001604,1769,13213
2023 - 2024,SCH,Amherst County Public Schools,Amherst Middle,351.41,176,10852,11028,159,3800,3959,14987,42104,5266627,335,14652
2023 - 2024,SCH,Amherst County Public Schools,Central Elementary,316.21,1316,10670,11986,159,3800,3959,15945,32923,5042106,1475,14470
2023 - 2024,SCH,Amherst County Public Schools,Elon Elementary,316.95,878,9182,10060,159,3800,3959,14019,34363,4443409,1037,12982
2023 - 2024,SCH,Amherst County Public Schools,Madison Heights Elementary,428.72,1688,7978,9665,159,3800,3959,13625,47920,5841157,1847,11778
2023 - 2024,SCH,Amherst County Public Schools,Monelison Middle,507.38,177,9755,9932,159,3800,3959,13891,59205,7048117,336,13555
2023 - 2024,SCH,Amherst County Public Schools,Temperance Elementary,101.95,595,11692,12287,159,3800,3959,16247,9683,1656343,754,15492
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox County High,700.22,407,8274,8680,74,3717,3791,12472,184472,8732877,481,11991
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Elementary,528.21,1023,8458,9481,74,3717,3791,13272,1300,7010473,1097,12175
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Middle,505.24,256,8880,9136,74,3717,3791,12927,4888,6531269,330,12597
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Primary,599.87,803,7748,8551,74,3717,3791,12342,12300,7403652,877,11465
2023 - 2024,SCH,Arlington County Public Schools,Abingdon Elementary,739.42,823,14291,15114,409,9161,9570,24683,978,18251343,1232,23452
2023 - 2024,SCH,Arlington County Public Schools,Alice West Fleet Elementary,607.26,0,14068,14068,409,9161,9570,23637,5050,14354014,409,23229
2023 - 2024,SCH,Arlington County Public Schools,Arlington Community High,167.89,0,21260,21260,409,9161,9570,30830,0,5176033,409,30421
2023 - 2024,SCH,Arlington County Public Schools,Arlington Science Focus School,586.24,0,11783,11783,409,9161,9570,21353,6633,12517959,409,20944
2023 - 2024,SCH,Arlington County Public Schools,Arlington Traditional,665.15,10,13444,13454,409,9161,9570,23024,16160,15314196,419,22605
2023 - 2024,SCH,Arlington County Public Schools,Ashlawn Elementary,543.14,218,15109,15327,409,9161,9570,24897,5199,13522491,627,24270
2023 - 2024,SCH,Arlington County Public Schools,Barcroft Elementary,495.22,1058,17445,18503,409,9161,9570,28073,15324,13902283,1467,26606
2023 - 2024,SCH,Arlington County Public Schools,Barrett Elementary,532.11,1009,19526,20535,409,9161,9570,30105,33141,16019231,1418,28687
2023 - 2024,SCH,Arlington County Public Schools,Campbell Elementary,415.45,964,18747,19711,409,9161,9570,29281,15802,12164655,1373,27908
2023 - 2024,SCH,Arlington County Public Schools,Cardinal Elementary,715.84,0,11213,11213,409,9161,9570,20783,4809,14876977,409,20374
2023 - 2024,SCH,Arlington County Public Schools,Carlin Springs Elementary,570.17,1104,17947,19050,409,9161,9570,28620,9684,16318434,1513,27108
2023 - 2024,SCH,Arlington County Public Schools,Claremont Immersion,617.56,11,13367,13378,409,9161,9570,22948,3499,14171883,420,22528
2023 - 2024,SCH,Arlington County Public Schools,Discovery Elementary,516.23,85,12772,12856,409,9161,9570,22426,2983,11577046,494,21933
2023 - 2024,SCH,Arlington County Public Schools,Dorothy Hamm Middle,944.55,46,13390,13436,409,9161,9570,23006,17442,21730163,455,22551
2023 - 2024,SCH,Arlington County Public Schools,Dr. Charles R. Drew Elementary,444.2,1336,20665,22001,409,9161,9570,31571,3744,14023642,1745,29826
2023 - 2024,SCH,Arlington County Public Schools,Escuela Key Elementary,579.34,0,14030,14030,409,9161,9570,23600,3288,13672274,409,23191
2023 - 2024,SCH,Arlington County Public Schools,Glebe Elementary,543.44,0,13614,13614,409,9161,9570,23184,1888,12599240,409,22775
2023 - 2024,SCH,Arlington County Public Schools,Gunston Middle,1023.11,71,14808,14879,409,9161,9570,24449,43140,25014177,480,23969
2023 - 2024,SCH,Arlington County Public Schools,Hoffman-Boston Elementary,617.42,750,16866,17616,409,9161,9570,27186,1415,16785118,1159,26027
2023 - 2024,SCH,Arlington County Public Schools,Innovation Elementary ,508.88,1,13955,13955,409,9161,9570,23525,4182,11971382,410,23116
