Provisionally Licensed,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Division,School,Level,Poverty Level,Special Education Percent,Provisional Percent,Title 1 Code,y,x10
2023 - 2024,Chesterfield County Public Schools,Beulah Elementary,SCH,Medium Poverty,0,11.3,0,9,All Schools
2023 - 2024,Chesterfield County Public Schools,Beulah Elementary,SCH,Medium Poverty,0,11.3,0,9,Title I
2023 - 2024,Chesterfield County Public Schools,Bon Air Elementary,SCH,Medium Poverty,4.3,6.4,2,3,All Schools
2023 - 2024,Chesterfield County Public Schools,Bon Air Elementary,SCH,Medium Poverty,4.3,6.4,2,3,Non-Title I
2023 - 2024,Chesterfield County Public Schools,C.C. Wells Elementary,SCH,Medium Poverty,6.4,6.4,3,3,All Schools
2023 - 2024,Chesterfield County Public Schools,C.C. Wells Elementary,SCH,Medium Poverty,6.4,6.4,3,3,Non-Title I
2023 - 2024,Chesterfield County Public Schools,C.E. Curtis Elementary,SCH,Medium Poverty,3,12.1,2,8,All Schools
2023 - 2024,Chesterfield County Public Schools,C.E. Curtis Elementary,SCH,Medium Poverty,3,12.1,2,8,Title I
2023 - 2024,Chesterfield County Public Schools,Carver College and Career Academy,SCH,Medium Poverty,4.3,10.6,2,5,All Schools
2023 - 2024,Chesterfield County Public Schools,Carver College and Career Academy,SCH,Medium Poverty,4.3,10.6,2,5,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Carver Middle,SCH,Medium Poverty,3.8,17.9,3,14,All Schools
2023 - 2024,Chesterfield County Public Schools,Carver Middle,SCH,Medium Poverty,3.8,17.9,3,14,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Clover Hill Elementary,SCH,Low Poverty,4.2,5.6,3,4,All Schools
2023 - 2024,Chesterfield County Public Schools,Clover Hill Elementary,SCH,Low Poverty,4.2,5.6,3,4,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Clover Hill High,SCH,Low Poverty,2.4,6.3,3,8,All Schools
2023 - 2024,Chesterfield County Public Schools,Clover Hill High,SCH,Low Poverty,2.4,6.3,3,8,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Cosby High,SCH,Low Poverty,0,3.2,0,5,All Schools
2023 - 2024,Chesterfield County Public Schools,Cosby High,SCH,Low Poverty,0,3.2,0,5,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Crestwood Elementary,SCH,Medium Poverty,5.1,11.9,3,7,All Schools
2023 - 2024,Chesterfield County Public Schools,Crestwood Elementary,SCH,Medium Poverty,5.1,11.9,3,7,Title I
2023 - 2024,Chesterfield County Public Schools,Ecoff Elementary,SCH,Medium Poverty,6.3,9.5,4,6,All Schools
2023 - 2024,Chesterfield County Public Schools,Ecoff Elementary,SCH,Medium Poverty,6.3,9.5,4,6,Title I
2023 - 2024,Chesterfield County Public Schools,Elizabeth Davis Middle,SCH,Medium Poverty,1,9.5,1,10,All Schools
2023 - 2024,Chesterfield County Public Schools,Elizabeth Davis Middle,SCH,Medium Poverty,1,9.5,1,10,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Elizabeth Scott Elementary,SCH,Medium Poverty,1.4,10.1,1,7,All Schools
2023 - 2024,Chesterfield County Public Schools,Elizabeth Scott Elementary,SCH,Medium Poverty,1.4,10.1,1,7,Title I
2023 - 2024,Chesterfield County Public Schools,Enon Elementary,SCH,Medium Poverty,1.6,6.6,1,4,All Schools
2023 - 2024,Chesterfield County Public Schools,Enon Elementary,SCH,Medium Poverty,1.6,6.6,1,4,Title I
2023 - 2024,Chesterfield County Public Schools,Ettrick Elementary,SCH,Medium Poverty,0,6,0,3,All Schools
2023 - 2024,Chesterfield County Public Schools,Ettrick Elementary,SCH,Medium Poverty,0,6,0,3,Title I
2023 - 2024,Chesterfield County Public Schools,Evergreen Elementary,SCH,Low Poverty,6.9,11.1,5,8,All Schools
2023 - 2024,Chesterfield County Public Schools,Evergreen Elementary,SCH,Low Poverty,6.9,11.1,5,8,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Falling Creek Elementary,SCH,Medium Poverty,4.6,17.2,4,15,All Schools
2023 - 2024,Chesterfield County Public Schools,Falling Creek Elementary,SCH,Medium Poverty,4.6,17.2,4,15,Title I
2023 - 2024,Chesterfield County Public Schools,Falling Creek Middle,SCH,Medium Poverty,3.6,23.4,4,26,All Schools
2023 - 2024,Chesterfield County Public Schools,Falling Creek Middle,SCH,Medium Poverty,3.6,23.4,4,26,Title I
2023 - 2024,Chesterfield County Public Schools,Grange Hall Elementary,SCH,Low Poverty,1.8,3.6,1,2,All Schools
2023 - 2024,Chesterfield County Public Schools,Grange Hall Elementary,SCH,Low Poverty,1.8,3.6,1,2,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Greenfield Elementary,SCH,Low Poverty,2.3,2.3,1,1,All Schools
2023 - 2024,Chesterfield County Public Schools,Greenfield Elementary,SCH,Low Poverty,2.3,2.3,1,1,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Harrowgate Elementary,SCH,Medium Poverty,2.3,9.1,1,4,All Schools
2023 - 2024,Chesterfield County Public Schools,Harrowgate Elementary,SCH,Medium Poverty,2.3,9.1,1,4,Title I
2023 - 2024,Chesterfield County Public Schools,Hopkins Road Elementary,SCH,Medium Poverty,3.9,7.8,3,6,All Schools
2023 - 2024,Chesterfield County Public Schools,Hopkins Road Elementary,SCH,Medium Poverty,3.9,7.8,3,6,Title I
2023 - 2024,Chesterfield County Public Schools,J.A. Chalkley Elementary,SCH,Medium Poverty,2.4,8.4,2,7,All Schools
2023 - 2024,Chesterfield County Public Schools,J.A. Chalkley Elementary,SCH,Medium Poverty,2.4,8.4,2,7,Title I
2023 - 2024,Chesterfield County Public Schools,J.B. Watkins Elementary,SCH,Low Poverty,1.6,1.6,1,1,All Schools
2023 - 2024,Chesterfield County Public Schools,J.B. Watkins Elementary,SCH,Low Poverty,1.6,1.6,1,1,Non-Title I
2023 - 2024,Chesterfield County Public Schools,J.G. Hening Elementary,SCH,Medium Poverty,2.4,9.8,2,8,All Schools
2023 - 2024,Chesterfield County Public Schools,J.G. Hening Elementary,SCH,Medium Poverty,2.4,9.8,2,8,Title I
2023 - 2024,Chesterfield County Public Schools,Jacobs Road Elementary,SCH,Medium Poverty,1.5,3,1,2,All Schools
2023 - 2024,Chesterfield County Public Schools,Jacobs Road Elementary,SCH,Medium Poverty,1.5,3,1,2,Title I
2023 - 2024,Chesterfield County Public Schools,James River High,SCH,Low Poverty,1.6,6.2,2,8,All Schools
2023 - 2024,Chesterfield County Public Schools,James River High,SCH,Low Poverty,1.6,6.2,2,8,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Lloyd C. Bird High,SCH,Medium Poverty,6,14.8,9,22,All Schools
2023 - 2024,Chesterfield County Public Schools,Lloyd C. Bird High,SCH,Medium Poverty,6,14.8,9,22,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Manchester High,SCH,Medium Poverty,3.4,12,6,21,All Schools
2023 - 2024,Chesterfield County Public Schools,Manchester High,SCH,Medium Poverty,3.4,12,6,21,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Manchester Middle,SCH,Medium Poverty,2.3,12.5,2,11,All Schools
2023 - 2024,Chesterfield County Public Schools,Manchester Middle,SCH,Medium Poverty,2.3,12.5,2,11,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Marguerite F. Christian Elementary,SCH,Medium Poverty,1.8,7.1,1,4,All Schools
2023 - 2024,Chesterfield County Public Schools,Marguerite F. Christian Elementary,SCH,Medium Poverty,1.8,7.1,1,4,Title I
2023 - 2024,Chesterfield County Public Schools,Matoaca Elementary,SCH,Medium Poverty,5.4,17.9,3,10,All Schools
2023 - 2024,Chesterfield County Public Schools,Matoaca Elementary,SCH,Medium Poverty,5.4,17.9,3,10,Title I
2023 - 2024,Chesterfield County Public Schools,Matoaca High,SCH,Medium Poverty,2.5,7.5,3,9,All Schools
2023 - 2024,Chesterfield County Public Schools,Matoaca High,SCH,Medium Poverty,2.5,7.5,3,9,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Matoaca Middle,SCH,Medium Poverty,4.8,15.9,3,10,All Schools
2023 - 2024,Chesterfield County Public Schools,Matoaca Middle,SCH,Medium Poverty,4.8,15.9,3,10,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Meadowbrook High,SCH,Medium Poverty,0.6,19.2,1,30,All Schools
2023 - 2024,Chesterfield County Public Schools,Meadowbrook High,SCH,Medium Poverty,0.6,19.2,1,30,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Midlothian High,SCH,Low Poverty,2.2,7.2,3,10,All Schools
2023 - 2024,Chesterfield County Public Schools,Midlothian High,SCH,Low Poverty,2.2,7.2,3,10,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Midlothian Middle,SCH,Low Poverty,2,7.1,2,7,All Schools
2023 - 2024,Chesterfield County Public Schools,Midlothian Middle,SCH,Low Poverty,2,7.1,2,7,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Monacan High,SCH,Low Poverty,2.7,8,3,9,All Schools
2023 - 2024,Chesterfield County Public Schools,Monacan High,SCH,Low Poverty,2.7,8,3,9,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Moseley Elementary,SCH,Low Poverty,0,2.9,0,2,All Schools
2023 - 2024,Chesterfield County Public Schools,Moseley Elementary,SCH,Low Poverty,0,2.9,0,2,Non-Title I
2023 - 2024,Chesterfield County Public Schools,O.B. Gates Elementary,SCH,Medium Poverty,6.9,9.7,5,7,All Schools
2023 - 2024,Chesterfield County Public Schools,O.B. Gates Elementary,SCH,Medium Poverty,6.9,9.7,5,7,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Old Hundred Elementary,SCH,Low Poverty,5.3,10.7,4,8,All Schools
2023 - 2024,Chesterfield County Public Schools,Old Hundred Elementary,SCH,Low Poverty,5.3,10.7,4,8,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Providence Elementary,SCH,Medium Poverty,4.8,8.1,3,5,All Schools
2023 - 2024,Chesterfield County Public Schools,Providence Elementary,SCH,Medium Poverty,4.8,8.1,3,5,Title I
2023 - 2024,Chesterfield County Public Schools,Providence Middle,SCH,Medium Poverty,2.3,13.8,2,12,All Schools
2023 - 2024,Chesterfield County Public Schools,Providence Middle,SCH,Medium Poverty,2.3,13.8,2,12,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Reams Road Elementary,SCH,Medium Poverty,1.7,8.3,1,5,All Schools
2023 - 2024,Chesterfield County Public Schools,Reams Road Elementary,SCH,Medium Poverty,1.7,8.3,1,5,Title I
2023 - 2024,Chesterfield County Public Schools,Robious Elementary,SCH,Low Poverty,5.8,11.5,3,6,All Schools
2023 - 2024,Chesterfield County Public Schools,Robious Elementary,SCH,Low Poverty,5.8,11.5,3,6,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Robious Middle,SCH,Low Poverty,1.2,3.6,1,3,All Schools
2023 - 2024,Chesterfield County Public Schools,Robious Middle,SCH,Low Poverty,1.2,3.6,1,3,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Salem Church Elementary,SCH,Medium Poverty,2.1,6.4,1,3,All Schools
2023 - 2024,Chesterfield County Public Schools,Salem Church Elementary,SCH,Medium Poverty,2.1,6.4,1,3,Title I
2023 - 2024,Chesterfield County Public Schools,Salem Church Middle,SCH,Medium Poverty,1.4,6.8,1,5,All Schools
2023 - 2024,Chesterfield County Public Schools,Salem Church Middle,SCH,Medium Poverty,1.4,6.8,1,5,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Spring Run Elementary,SCH,Low Poverty,0,4.8,0,3,All Schools
2023 - 2024,Chesterfield County Public Schools,Spring Run Elementary,SCH,Low Poverty,0,4.8,0,3,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Swift Creek Elementary,SCH,Low Poverty,1.8,5.4,1,3,All Schools
2023 - 2024,Chesterfield County Public Schools,Swift Creek Elementary,SCH,Low Poverty,1.8,5.4,1,3,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Swift Creek Middle,SCH,Low Poverty,5.8,12.8,5,11,All Schools
2023 - 2024,Chesterfield County Public Schools,Swift Creek Middle,SCH,Low Poverty,5.8,12.8,5,11,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Thelma Crenshaw Elementary,SCH,Medium Poverty,1.7,16.7,1,10,All Schools
2023 - 2024,Chesterfield County Public Schools,Thelma Crenshaw Elementary,SCH,Medium Poverty,1.7,16.7,1,10,Title I
2023 - 2024,Chesterfield County Public Schools,Thomas Dale High,SCH,Medium Poverty,2.7,10.7,5,20,All Schools
2023 - 2024,Chesterfield County Public Schools,Thomas Dale High,SCH,Medium Poverty,2.7,10.7,5,20,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Tomahawk Creek Middle,SCH,Low Poverty,0,2.5,0,3,All Schools
2023 - 2024,Chesterfield County Public Schools,Tomahawk Creek Middle,SCH,Low Poverty,0,2.5,0,3,Non-Title I
2023 - 2024,Chesterfield County Public Schools,W.W. Gordon Elementary,SCH,Low Poverty,0,2.4,0,1,All Schools
2023 - 2024,Chesterfield County Public Schools,W.W. Gordon Elementary,SCH,Low Poverty,0,2.4,0,1,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Winterpock Elementary,SCH,Low Poverty,5.1,8.5,3,5,All Schools
2023 - 2024,Chesterfield County Public Schools,Winterpock Elementary,SCH,Low Poverty,5.1,8.5,3,5,Non-Title I
2023 - 2024,Chesterfield County Public Schools,Woolridge Elementary,SCH,Low Poverty,0,3.3,0,2,All Schools
2023 - 2024,Chesterfield County Public Schools,Woolridge Elementary,SCH,Low Poverty,0,3.3,0,2,Non-Title I
2023 - 2024,Clarke County Public Schools,Boyce Elementary,SCH,Medium Poverty,0,6.5,0,2,All Schools
2023 - 2024,Clarke County Public Schools,Boyce Elementary,SCH,Medium Poverty,0,6.5,0,2,Title I
2023 - 2024,Clarke County Public Schools,Clarke County High,SCH,Low Poverty,0,9.1,0,6,All Schools
2023 - 2024,Clarke County Public Schools,Clarke County High,SCH,Low Poverty,0,9.1,0,6,Non-Title I
2023 - 2024,Clarke County Public Schools,D.G. Cooley Elementary,SCH,Low Poverty,2.2,6.5,1,3,All Schools
2023 - 2024,Clarke County Public Schools,D.G. Cooley Elementary,SCH,Low Poverty,2.2,6.5,1,3,Title I
2023 - 2024,Clarke County Public Schools,Johnson-Williams Middle,SCH,Low Poverty,0,9.1,0,4,All Schools
2023 - 2024,Clarke County Public Schools,Johnson-Williams Middle,SCH,Low Poverty,0,9.1,0,4,Non-Title I
2023 - 2024,Colonial Beach Public Schools,Colonial Beach Elementary,SCH,Medium Poverty,0,0,0,0,All Schools
2023 - 2024,Colonial Beach Public Schools,Colonial Beach Elementary,SCH,Medium Poverty,0,0,0,0,Title I
2023 - 2024,Colonial Beach Public Schools,Colonial Beach High,SCH,Medium Poverty,0,11.8,0,2,All Schools
2023 - 2024,Colonial Beach Public Schools,Colonial Beach High,SCH,Medium Poverty,0,11.8,0,2,Non-Title I
2023 - 2024,Colonial Heights City Public Schools,Colonial Heights High,SCH,Medium Poverty,4.7,12.8,4,11,All Schools
2023 - 2024,Colonial Heights City Public Schools,Colonial Heights High,SCH,Medium Poverty,4.7,12.8,4,11,Non-Title I
2023 - 2024,Colonial Heights City Public Schools,Colonial Heights Middle,SCH,Medium Poverty,6.6,18,4,11,All Schools
2023 - 2024,Colonial Heights City Public Schools,Colonial Heights Middle,SCH,Medium Poverty,6.6,18,4,11,Title I
2023 - 2024,Colonial Heights City Public Schools,Lakeview Elementary,SCH,Medium Poverty,0,0,0,0,All Schools
2023 - 2024,Colonial Heights City Public Schools,Lakeview Elementary,SCH,Medium Poverty,0,0,0,0,Title I
2023 - 2024,Colonial Heights City Public Schools,North Elementary,SCH,Medium Poverty,0,14.8,0,4,All Schools
2023 - 2024,Colonial Heights City Public Schools,North Elementary,SCH,Medium Poverty,0,14.8,0,4,Title I
2023 - 2024,Colonial Heights City Public Schools,Tussing Elementary,SCH,Medium Poverty,2.2,13,1,6,All Schools
2023 - 2024,Colonial Heights City Public Schools,Tussing Elementary,SCH,Medium Poverty,2.2,13,1,6,Title I
2023 - 2024,Craig County Public Schools,Craig County High,SCH,Medium Poverty,2.6,15.8,1,6,All Schools
2023 - 2024,Craig County Public Schools,Craig County High,SCH,Medium Poverty,2.6,15.8,1,6,Non-Title I
2023 - 2024,Craig County Public Schools,McCleary Elementary,SCH,Medium Poverty,0,10.5,0,2,All Schools
2023 - 2024,Craig County Public Schools,McCleary Elementary,SCH,Medium Poverty,0,10.5,0,2,Title I
2023 - 2024,Culpeper County Public Schools,A.G. Richardson Elementary,SCH,Medium Poverty,6.5,13,3,6,All Schools
2023 - 2024,Culpeper County Public Schools,A.G. Richardson Elementary,SCH,Medium Poverty,6.5,13,3,6,Non-Title I
2023 - 2024,Culpeper County Public Schools,Culpeper County High,SCH,Medium Poverty,1.8,18.2,2,20,All Schools
2023 - 2024,Culpeper County Public Schools,Culpeper County High,SCH,Medium Poverty,1.8,18.2,2,20,Non-Title I
2023 - 2024,Culpeper County Public Schools,Culpeper Middle,SCH,Medium Poverty,1.1,16.5,1,15,All Schools
2023 - 2024,Culpeper County Public Schools,Culpeper Middle,SCH,Medium Poverty,1.1,16.5,1,15,Non-Title I
2023 - 2024,Culpeper County Public Schools,Eastern View High,SCH,Medium Poverty,3.8,19.8,5,26,All Schools
2023 - 2024,Culpeper County Public Schools,Eastern View High,SCH,Medium Poverty,3.8,19.8,5,26,Non-Title I
2023 - 2024,Culpeper County Public Schools,Emerald Hill Elementary,SCH,Low Poverty,6,12,3,6,All Schools
2023 - 2024,Culpeper County Public Schools,Emerald Hill Elementary,SCH,Low Poverty,6,12,3,6,Non-Title I
2023 - 2024,Culpeper County Public Schools,Farmington Elementary,SCH,Medium Poverty,2.4,7.1,1,3,All Schools
2023 - 2024,Culpeper County Public Schools,Farmington Elementary,SCH,Medium Poverty,2.4,7.1,1,3,Title I
2023 - 2024,Culpeper County Public Schools,Floyd T. Binns Middle,SCH,Medium Poverty,2.5,16.3,2,13,All Schools
2023 - 2024,Culpeper County Public Schools,Floyd T. Binns Middle,SCH,Medium Poverty,2.5,16.3,2,13,Non-Title I
2023 - 2024,Culpeper County Public Schools,Pearl Sample Elementary,SCH,Medium Poverty,3.8,15.1,2,8,All Schools
2023 - 2024,Culpeper County Public Schools,Pearl Sample Elementary,SCH,Medium Poverty,3.8,15.1,2,8,Title I
2023 - 2024,Culpeper County Public Schools,Sycamore Park Elementary,SCH,Medium Poverty,3.4,13.8,2,8,All Schools
2023 - 2024,Culpeper County Public Schools,Sycamore Park Elementary,SCH,Medium Poverty,3.4,13.8,2,8,Title I
2023 - 2024,Culpeper County Public Schools,Yowell Elementary,SCH,Medium Poverty,4,16,2,8,All Schools
2023 - 2024,Culpeper County Public Schools,Yowell Elementary,SCH,Medium Poverty,4,16,2,8,Non-Title I
2023 - 2024,Cumberland County Public Schools,Cumberland Elementary,SCH,High Poverty,4.4,6.7,2,3,All Schools
2023 - 2024,Cumberland County Public Schools,Cumberland Elementary,SCH,High Poverty,4.4,6.7,2,3,Title I
2023 - 2024,Cumberland County Public Schools,Cumberland High,SCH,High Poverty,2.9,11.8,1,4,All Schools
2023 - 2024,Cumberland County Public Schools,Cumberland High,SCH,High Poverty,2.9,11.8,1,4,Non-Title I
2023 - 2024,Cumberland County Public Schools,Cumberland Middle,SCH,High Poverty,2.7,8.1,1,3,All Schools
2023 - 2024,Cumberland County Public Schools,Cumberland Middle,SCH,High Poverty,2.7,8.1,1,3,Non-Title I
2023 - 2024,Danville City Public Schools,Edwin A. Gibson Elementary,SCH,High Poverty,0,6.9,0,2,All Schools
2023 - 2024,Danville City Public Schools,Edwin A. Gibson Elementary,SCH,High Poverty,0,6.9,0,2,Title I
2023 - 2024,Danville City Public Schools,Forest Hills Elementary,SCH,High Poverty,0,6.3,0,1,All Schools
2023 - 2024,Danville City Public Schools,Forest Hills Elementary,SCH,High Poverty,0,6.3,0,1,Title I
2023 - 2024,Danville City Public Schools,G.L.H. Johnson Elementary,SCH,High Poverty,0,8.6,0,3,All Schools
2023 - 2024,Danville City Public Schools,G.L.H. Johnson Elementary,SCH,High Poverty,0,8.6,0,3,Title I
2023 - 2024,Danville City Public Schools,Galileo Magnet High,SCH,High Poverty,0,4.3,0,1,All Schools
2023 - 2024,Danville City Public Schools,Galileo Magnet High,SCH,High Poverty,0,4.3,0,1,Non-Title I
2023 - 2024,Danville City Public Schools,George Washington High,SCH,High Poverty,1.1,14.8,1,13,All Schools
2023 - 2024,Danville City Public Schools,George Washington High,SCH,High Poverty,1.1,14.8,1,13,Title I
2023 - 2024,Danville City Public Schools,O. Trent Bonner Middle,SCH,High Poverty,0,20,0,10,All Schools
2023 - 2024,Danville City Public Schools,O. Trent Bonner Middle,SCH,High Poverty,0,20,0,10,Title I
2023 - 2024,Danville City Public Schools,Park Avenue Elementary,SCH,High Poverty,3.7,18.5,1,5,All Schools
2023 - 2024,Danville City Public Schools,Park Avenue Elementary,SCH,High Poverty,3.7,18.5,1,5,Title I
2023 - 2024,Danville City Public Schools,Schoolfield Elementary,SCH,High Poverty,0,17.6,0,6,All Schools
2023 - 2024,Danville City Public Schools,Schoolfield Elementary,SCH,High Poverty,0,17.6,0,6,Title I
2023 - 2024,Danville City Public Schools,Westwood Middle,SCH,High Poverty,2.1,12.5,1,6,All Schools
2023 - 2024,Danville City Public Schools,Westwood Middle,SCH,High Poverty,2.1,12.5,1,6,Title I
2023 - 2024,Danville City Public Schools,Woodberry Hills Elementary,SCH,High Poverty,0,11.1,0,3,All Schools
2023 - 2024,Danville City Public Schools,Woodberry Hills Elementary,SCH,High Poverty,0,11.1,0,3,Title I
2023 - 2024,Dickenson County Public Schools,Ridgeview Elementary ,SCH,High Poverty,3.2,8.1,2,5,All Schools
2023 - 2024,Dickenson County Public Schools,Ridgeview Elementary ,SCH,High Poverty,3.2,8.1,2,5,Title I
2023 - 2024,Dickenson County Public Schools,Ridgeview High,SCH,High Poverty,1.2,10.6,1,9,All Schools
2023 - 2024,Dickenson County Public Schools,Ridgeview High,SCH,High Poverty,1.2,10.6,1,9,Non-Title I
2023 - 2024,Dickenson County Public Schools,Ridgeview Middle,SCH,High Poverty,4,13.3,3,10,All Schools
2023 - 2024,Dickenson County Public Schools,Ridgeview Middle,SCH,High Poverty,4,13.3,3,10,Non-Title I
2023 - 2024,Dinwiddie County Public Schools,Dinwiddie County High,SCH,Medium Poverty,4.8,17.3,5,18,All Schools
2023 - 2024,Dinwiddie County Public Schools,Dinwiddie County High,SCH,Medium Poverty,4.8,17.3,5,18,Non-Title I
2023 - 2024,Dinwiddie County Public Schools,Dinwiddie County Middle,SCH,Medium Poverty,6.6,19.7,5,15,All Schools
2023 - 2024,Dinwiddie County Public Schools,Dinwiddie County Middle,SCH,Medium Poverty,6.6,19.7,5,15,Non-Title I
2023 - 2024,Dinwiddie County Public Schools,Dinwiddie Elementary,SCH,Medium Poverty,4.9,14.6,2,6,All Schools
2023 - 2024,Dinwiddie County Public Schools,Dinwiddie Elementary,SCH,Medium Poverty,4.9,14.6,2,6,Title I
2023 - 2024,Dinwiddie County Public Schools,Midway Elementary,SCH,Medium Poverty,0,3.1,0,1,All Schools
2023 - 2024,Dinwiddie County Public Schools,Midway Elementary,SCH,Medium Poverty,0,3.1,0,1,Non-Title I
2023 - 2024,Dinwiddie County Public Schools,Southside Elementary,SCH,Medium Poverty,0,6.5,0,3,All Schools
2023 - 2024,Dinwiddie County Public Schools,Southside Elementary,SCH,Medium Poverty,0,6.5,0,3,Title I
2023 - 2024,Dinwiddie County Public Schools,Sunnyside Elementary,SCH,Medium Poverty,0,3.1,0,1,All Schools
2023 - 2024,Dinwiddie County Public Schools,Sunnyside Elementary,SCH,Medium Poverty,0,3.1,0,1,Title I
2023 - 2024,Dinwiddie County Public Schools,Sutherland Elementary,SCH,Medium Poverty,4.1,10.2,2,5,All Schools
2023 - 2024,Dinwiddie County Public Schools,Sutherland Elementary,SCH,Medium Poverty,4.1,10.2,2,5,Title I
2023 - 2024,Essex County Public Schools,Essex High,SCH,High Poverty,8.8,23.5,3,8,All Schools
2023 - 2024,Essex County Public Schools,Essex High,SCH,High Poverty,8.8,23.5,3,8,Non-Title I
2023 - 2024,Essex County Public Schools,James H. Cary Intermediate ,SCH,High Poverty,6.1,27.3,2,9,All Schools
2023 - 2024,Essex County Public Schools,James H. Cary Intermediate ,SCH,High Poverty,6.1,27.3,2,9,Title I
2023 - 2024,Essex County Public Schools,Tappahannock Elementary,SCH,High Poverty,14.3,25.7,5,9,All Schools
2023 - 2024,Essex County Public Schools,Tappahannock Elementary,SCH,High Poverty,14.3,25.7,5,9,Title I
2023 - 2024,Fairfax County Public Schools,Aldrin Elementary,SCH,Low Poverty,3.9,5.9,2,3,All Schools
2023 - 2024,Fairfax County Public Schools,Aldrin Elementary,SCH,Low Poverty,3.9,5.9,2,3,Non-Title I
2023 - 2024,Fairfax County Public Schools,Annandale High,SCH,Medium Poverty,2.5,12.1,5,24,All Schools
2023 - 2024,Fairfax County Public Schools,Annandale High,SCH,Medium Poverty,2.5,12.1,5,24,Non-Title I
2023 - 2024,Fairfax County Public Schools,Annandale Terrace Elementary,SCH,High Poverty,6.1,12.1,4,8,All Schools
2023 - 2024,Fairfax County Public Schools,Annandale Terrace Elementary,SCH,High Poverty,6.1,12.1,4,8,Title I
2023 - 2024,Fairfax County Public Schools,Archer Elementary,SCH,Low Poverty,4.4,8.9,2,4,All Schools
2023 - 2024,Fairfax County Public Schools,Archer Elementary,SCH,Low Poverty,4.4,8.9,2,4,Non-Title I
2023 - 2024,Fairfax County Public Schools,Armstrong Elementary,SCH,Low Poverty,2.4,7.1,1,3,All Schools
2023 - 2024,Fairfax County Public Schools,Armstrong Elementary,SCH,Low Poverty,2.4,7.1,1,3,Non-Title I
2023 - 2024,Fairfax County Public Schools,Bailey's Elementary School for the Arts and Sciences,SCH,Medium Poverty,3.9,9.1,3,7,All Schools
2023 - 2024,Fairfax County Public Schools,Bailey's Elementary School for the Arts and Sciences,SCH,Medium Poverty,3.9,9.1,3,7,Title I
2023 - 2024,Fairfax County Public Schools,Bailey's Upper Elementary School for the Arts and Sciences,SCH,Medium Poverty,0,1.6,0,1,All Schools
2023 - 2024,Fairfax County Public Schools,Bailey's Upper Elementary School for the Arts and Sciences,SCH,Medium Poverty,0,1.6,0,1,Title I
2023 - 2024,Fairfax County Public Schools,Beech Tree Elementary,SCH,Medium Poverty,7.3,17.1,3,7,All Schools
2023 - 2024,Fairfax County Public Schools,Beech Tree Elementary,SCH,Medium Poverty,7.3,17.1,3,7,Title I
2023 - 2024,Fairfax County Public Schools,Belle View Elementary,SCH,Medium Poverty,9.3,16.3,4,7,All Schools
2023 - 2024,Fairfax County Public Schools,Belle View Elementary,SCH,Medium Poverty,9.3,16.3,4,7,Non-Title I
2023 - 2024,Fairfax County Public Schools,Belvedere Elementary,SCH,Medium Poverty,0,9.5,0,6,All Schools
2023 - 2024,Fairfax County Public Schools,Belvedere Elementary,SCH,Medium Poverty,0,9.5,0,6,Title I
2023 - 2024,Fairfax County Public Schools,Bonnie Brae Elementary,SCH,Low Poverty,6.2,10.8,4,7,All Schools
2023 - 2024,Fairfax County Public Schools,Bonnie Brae Elementary,SCH,Low Poverty,6.2,10.8,4,7,Non-Title I
2023 - 2024,Fairfax County Public Schools,Braddock Elementary,SCH,Medium Poverty,2.2,11,2,10,All Schools
2023 - 2024,Fairfax County Public Schools,Braddock Elementary,SCH,Medium Poverty,2.2,11,2,10,Title I
2023 - 2024,Fairfax County Public Schools,Bren Mar Park Elementary,SCH,Medium Poverty,10,12,5,6,All Schools
