Provisionally Licensed,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Division,School,Level,Poverty Level,Special Education Percent,Provisional Percent,Title 1 Code,y,x10
2023 - 2024,Albemarle County Public Schools,Mountain View Elementary,SCH,Medium Poverty,1.3,1.3,1,1,Title I
2023 - 2024,Albemarle County Public Schools,Red Hill Elementary,SCH,Medium Poverty,0,3.8,0,1,All Schools
2023 - 2024,Albemarle County Public Schools,Red Hill Elementary,SCH,Medium Poverty,0,3.8,0,1,Title I
2023 - 2024,Albemarle County Public Schools,Scottsville Elementary,SCH,Medium Poverty,0,4,0,1,All Schools
2023 - 2024,Albemarle County Public Schools,Scottsville Elementary,SCH,Medium Poverty,0,4,0,1,Title I
2023 - 2024,Albemarle County Public Schools,Stone Robinson Elementary,SCH,Low Poverty,0,2.2,0,1,All Schools
2023 - 2024,Albemarle County Public Schools,Stone Robinson Elementary,SCH,Low Poverty,0,2.2,0,1,Non-Title I
2023 - 2024,Albemarle County Public Schools,Stony Point Elementary,SCH,Low Poverty,0,4.5,0,1,All Schools
2023 - 2024,Albemarle County Public Schools,Stony Point Elementary,SCH,Low Poverty,0,4.5,0,1,Non-Title I
2023 - 2024,Albemarle County Public Schools,Virginia L. Murray Elementary,SCH,Low Poverty,7.4,11.1,2,3,All Schools
2023 - 2024,Albemarle County Public Schools,Virginia L. Murray Elementary,SCH,Low Poverty,7.4,11.1,2,3,Non-Title I
2023 - 2024,Albemarle County Public Schools,Western Albemarle High,SCH,Low Poverty,1.9,5.8,2,6,All Schools
2023 - 2024,Albemarle County Public Schools,Western Albemarle High,SCH,Low Poverty,1.9,5.8,2,6,Non-Title I
2023 - 2024,Albemarle County Public Schools,Woodbrook Elementary,SCH,Medium Poverty,0,5.3,0,4,All Schools
2023 - 2024,Albemarle County Public Schools,Woodbrook Elementary,SCH,Medium Poverty,0,5.3,0,4,Title I
2023 - 2024,Alexandria City Public Schools,Alexandria City High,SCH,Medium Poverty,0.7,7.2,2,21,All Schools
2023 - 2024,Alexandria City Public Schools,Alexandria City High,SCH,Medium Poverty,0.7,7.2,2,21,Non-Title I
2023 - 2024,Alexandria City Public Schools,Charles Barrett Elementary,SCH,Medium Poverty,0,2.8,0,1,All Schools
2023 - 2024,Alexandria City Public Schools,Charles Barrett Elementary,SCH,Medium Poverty,0,2.8,0,1,Non-Title I
2023 - 2024,Alexandria City Public Schools,Cora Kelly School for Math Science and Technology,SCH,Medium Poverty,0,4.5,0,1,All Schools
2023 - 2024,Alexandria City Public Schools,Cora Kelly School for Math Science and Technology,SCH,Medium Poverty,0,4.5,0,1,Title I
2023 - 2024,Alexandria City Public Schools,Douglas MacArthur Elementary,SCH,Medium Poverty,0,2.6,0,1,All Schools
2023 - 2024,Alexandria City Public Schools,Douglas MacArthur Elementary,SCH,Medium Poverty,0,2.6,0,1,Non-Title I
2023 - 2024,Alexandria City Public Schools,Ferdinand T. Day Elementary,SCH,Medium Poverty,0,6.1,0,2,All Schools
2023 - 2024,Alexandria City Public Schools,Ferdinand T. Day Elementary,SCH,Medium Poverty,0,6.1,0,2,Title I
2023 - 2024,Alexandria City Public Schools,Francis C. Hammond Middle,SCH,Medium Poverty,0.8,4.9,1,6,All Schools
2023 - 2024,Alexandria City Public Schools,Francis C. Hammond Middle,SCH,Medium Poverty,0.8,4.9,1,6,Title I
2023 - 2024,Alexandria City Public Schools,George Mason Elementary,SCH,Medium Poverty,4.2,4.2,1,1,All Schools
2023 - 2024,Alexandria City Public Schools,George Mason Elementary,SCH,Medium Poverty,4.2,4.2,1,1,Non-Title I
2023 - 2024,Alexandria City Public Schools,George Washington Middle,SCH,Medium Poverty,0,2.9,0,3,All Schools
2023 - 2024,Alexandria City Public Schools,George Washington Middle,SCH,Medium Poverty,0,2.9,0,3,Non-Title I
2023 - 2024,Alexandria City Public Schools,James K. Polk Elementary,SCH,Medium Poverty,0,8,0,4,All Schools
