Breakfast Participation of Eligible Students,,,,
,,,,
,,,,
Year,Division,School,Level,Percent
2023 - 2024,Arlington County Public Schools,Cardinal Elementary,SCH,16.8
2023 - 2024,Arlington County Public Schools,Carlin Springs Elementary,SCH,51.6
2023 - 2024,Arlington County Public Schools,Claremont Immersion,SCH,22.1
2023 - 2024,Arlington County Public Schools,Discovery Elementary,SCH,25.2
2023 - 2024,Arlington County Public Schools,Dorothy Hamm Middle,SCH,35.2
2023 - 2024,Arlington County Public Schools,Dr. Charles R. Drew Elementary,SCH,44.4
2023 - 2024,Arlington County Public Schools,Escuela Key Elementary,SCH,32.2
2023 - 2024,Arlington County Public Schools,Glebe Elementary,SCH,10.8
2023 - 2024,Arlington County Public Schools,Gunston Middle,SCH,11.9
2023 - 2024,Arlington County Public Schools,Hoffman-Boston Elementary,SCH,45
2023 - 2024,Arlington County Public Schools,Innovation Elementary ,SCH,32
2023 - 2024,Arlington County Public Schools,Jamestown Elementary,SCH,47.5
2023 - 2024,Arlington County Public Schools,Jefferson Middle,SCH,39.2
2023 - 2024,Arlington County Public Schools,Kenmore Middle,SCH,17.7
2023 - 2024,Arlington County Public Schools,Long Branch Elementary,SCH,32.6
2023 - 2024,Arlington County Public Schools,Montessori Public School of Arlington,SCH,25.6
2023 - 2024,Arlington County Public Schools,Nottingham Elementary,SCH,21
2023 - 2024,Arlington County Public Schools,Oakridge Elementary,SCH,70.2
2023 - 2024,Arlington County Public Schools,Randolph Elementary,SCH,36.5
2023 - 2024,Arlington County Public Schools,Swanson Middle,SCH,17.4
2023 - 2024,Arlington County Public Schools,Taylor Elementary,SCH,19.7
2023 - 2024,Arlington County Public Schools,Tuckahoe Elementary,SCH,10
2023 - 2024,Arlington County Public Schools,Wakefield High,SCH,13.3
2023 - 2024,Arlington County Public Schools,Washington-Liberty High,SCH,14.9
2023 - 2024,Arlington County Public Schools,Williamsburg Middle,SCH,0.2
2023 - 2024,Arlington County Public Schools,Yorktown High,SCH,12.6
2023 - 2024,Augusta County Public Schools,Buffalo Gap High,SCH,29.2
2023 - 2024,Augusta County Public Schools,Cassell Elementary,SCH,60.1
2023 - 2024,Augusta County Public Schools,Churchville Elementary,SCH,47.9
2023 - 2024,Augusta County Public Schools,Craigsville Elementary,SCH,75.7
2023 - 2024,Augusta County Public Schools,Edward G. Clymore Elementary,SCH,62.1
2023 - 2024,Augusta County Public Schools,Fort Defiance High,SCH,39.9
2023 - 2024,Augusta County Public Schools,Guy K. Stump Elementary,SCH,73.1
2023 - 2024,Augusta County Public Schools,North River Elementary,SCH,92.5
2023 - 2024,Augusta County Public Schools,Riverheads Elementary,SCH,64.1
2023 - 2024,Augusta County Public Schools,Riverheads High,SCH,39.3
2023 - 2024,Augusta County Public Schools,S. Gordon Stewart Middle,SCH,42.7
2023 - 2024,Augusta County Public Schools,Stuarts Draft Elementary,SCH,57.9
2023 - 2024,Augusta County Public Schools,Stuarts Draft High,SCH,34
2023 - 2024,Augusta County Public Schools,Stuarts Draft Middle,SCH,52.2
2023 - 2024,Augusta County Public Schools,Wilson Elementary,SCH,51.8
2023 - 2024,Augusta County Public Schools,Wilson Memorial High,SCH,22.7
2023 - 2024,Augusta County Public Schools,Wilson Middle,SCH,66.7
2023 - 2024,Bath County Public Schools,Bath County High,SCH,26.4
2023 - 2024,Bath County Public Schools,Millboro Elementary,SCH,70.2
2023 - 2024,Bath County Public Schools,Valley Elementary,SCH,68.5
2023 - 2024,Bedford County Public Schools,Bedford Elementary,SCH,59.1
2023 - 2024,Bedford County Public Schools,Bedford Primary,SCH,62
2023 - 2024,Bedford County Public Schools,Big Island Elementary,SCH,43.5
2023 - 2024,Bedford County Public Schools,Boonsboro Elementary,SCH,31.6
2023 - 2024,Bedford County Public Schools,Forest Elementary,SCH,33.6
2023 - 2024,Bedford County Public Schools,Forest Middle,SCH,20.4
2023 - 2024,Bedford County Public Schools,Goodview Elementary,SCH,31.7
2023 - 2024,Bedford County Public Schools,Huddleston Elementary,SCH,68.2
2023 - 2024,Bedford County Public Schools,Jefferson Forest High,SCH,17.8
2023 - 2024,Bedford County Public Schools,Liberty High,SCH,19
2023 - 2024,Bedford County Public Schools,Liberty Middle,SCH,37.2
2023 - 2024,Bedford County Public Schools,Moneta Elementary,SCH,48.8
2023 - 2024,Bedford County Public Schools,Montvale Elementary,SCH,70.2
2023 - 2024,Bedford County Public Schools,New London Academy Elementary,SCH,31.5
2023 - 2024,Bedford County Public Schools,Otter River Elementary,SCH,46
2023 - 2024,Bedford County Public Schools,Staunton River High,SCH,23.3
2023 - 2024,Bedford County Public Schools,Staunton River Middle,SCH,46.4
2023 - 2024,Bedford County Public Schools,Stewartsville Elementary,SCH,65.3
2023 - 2024,Bedford County Public Schools,Thomas Jefferson Elementary,SCH,26.2
2023 - 2024,Bland County Public Schools,Bland County Elementary ,SCH,52.7
2023 - 2024,Bland County Public Schools,Bland County High,SCH,34.1
2023 - 2024,Botetourt County Public Schools,Breckinridge Elementary,SCH,35.5
2023 - 2024,Botetourt County Public Schools,Buchanan Elementary,SCH,29.7
2023 - 2024,Botetourt County Public Schools,Central Academy Middle,SCH,28.4
2023 - 2024,Botetourt County Public Schools,Cloverdale Elementary,SCH,
2023 - 2024,Botetourt County Public Schools,Colonial Elementary,SCH,39.6
2023 - 2024,Botetourt County Public Schools,Eagle Rock Elementary,SCH,45.8
2023 - 2024,Botetourt County Public Schools,Greenfield Elementary,SCH,34.6
2023 - 2024,Botetourt County Public Schools,James River High,SCH,27
2023 - 2024,Botetourt County Public Schools,Lord Botetourt High,SCH,13.8
2023 - 2024,Botetourt County Public Schools,Read Mountain Middle,SCH,33.8
2023 - 2024,Botetourt County Public Schools,Troutville Elementary,SCH,37.3
2023 - 2024,Bristol City Public Schools,Virginia High,SCH,37.5
2023 - 2024,Bristol City Public Schools,Virginia Middle,SCH,48
2023 - 2024,Brunswick County Public Schools,Brunswick High,SCH,32.5
2023 - 2024,Brunswick County Public Schools,James S. Russell Middle,SCH,34.4
2023 - 2024,Brunswick County Public Schools,Meherrin Powellton Elementary,SCH,73.3
2023 - 2024,Brunswick County Public Schools,Red Oak-Sturgeon Elementary,SCH,79.6
2023 - 2024,Brunswick County Public Schools,Totaro Elementary,SCH,69.2
2023 - 2024,Buchanan County Public Schools,Council Elementary/Middle,SCH,90.9
2023 - 2024,Buchanan County Public Schools,Council High ,SCH,77.7
2023 - 2024,Buchanan County Public Schools,Grundy High,SCH,63.8
2023 - 2024,Buchanan County Public Schools,Hurley Elementary/Middle,SCH,85.2
2023 - 2024,Buchanan County Public Schools,Hurley High,SCH,52.9
2023 - 2024,Buchanan County Public Schools,Riverview Elementary/Middle,SCH,51.9
2023 - 2024,Buchanan County Public Schools,Twin Valley Elementary/Middle,SCH,93.4
2023 - 2024,Buchanan County Public Schools,Twin Valley High,SCH,77.1
2023 - 2024,Buckingham County Public Schools,Buckingham Co Elementary,SCH,60.5
2023 - 2024,Buckingham County Public Schools,Buckingham Co Primary,SCH,76
2023 - 2024,Buckingham County Public Schools,Buckingham County High,SCH,21.7
2023 - 2024,Buckingham County Public Schools,Buckingham County Middle,SCH,46.5
2023 - 2024,Buena Vista City Public Schools,Enderly Heights Elementary,SCH,81.3
2023 - 2024,Buena Vista City Public Schools,F.W. Kling Jr. Elementary,SCH,47.7
2023 - 2024,Buena Vista City Public Schools,Parry McCluer High,SCH,55.3
2023 - 2024,Buena Vista City Public Schools,Parry McCluer Middle,SCH,70.3
2023 - 2024,Campbell County Public Schools,Altavista Elementary,SCH,68.2
2023 - 2024,Campbell County Public Schools,Altavista High,SCH,22
2023 - 2024,Campbell County Public Schools,Brookneal Elementary,SCH,60.7
2023 - 2024,Campbell County Public Schools,Brookville High,SCH,12.6
2023 - 2024,Campbell County Public Schools,Brookville Middle,SCH,43.5
2023 - 2024,Campbell County Public Schools,Concord Elementary,SCH,57.3
2023 - 2024,Campbell County Public Schools,Leesville Road Elementary,SCH,55.1
2023 - 2024,Campbell County Public Schools,Rustburg Elementary,SCH,70.4
2023 - 2024,Campbell County Public Schools,Rustburg High,SCH,25.9
2023 - 2024,Campbell County Public Schools,Rustburg Middle,SCH,48.5
2023 - 2024,Campbell County Public Schools,Tomahawk Elementary,SCH,54
2023 - 2024,Campbell County Public Schools,William Campbell High,SCH,38.9
2023 - 2024,Campbell County Public Schools,Yellow Branch Elementary,SCH,59.7
2023 - 2024,Caroline County Public Schools,Bowling Green Elementary,SCH,57.1
2023 - 2024,Caroline County Public Schools,Caroline High,SCH,29.7
2023 - 2024,Caroline County Public Schools,Caroline Middle,SCH,33.7
2023 - 2024,Caroline County Public Schools,Lewis and Clark Elementary,SCH,62.4
2023 - 2024,Caroline County Public Schools,Madison Elementary,SCH,63
2023 - 2024,Carroll County Public Schools,Carroll County High,SCH,31.3
2023 - 2024,Carroll County Public Schools,Carroll County Middle,SCH,61.8
2023 - 2024,Carroll County Public Schools,Fancy Gap Elementary,SCH,79.6
2023 - 2024,Carroll County Public Schools,Gladesboro Elementary,SCH,85.5
2023 - 2024,Carroll County Public Schools,Gladeville Elementary,SCH,70.2
2023 - 2024,Carroll County Public Schools,Hillsville Elementary,SCH,81.5
2023 - 2024,Carroll County Public Schools,Laurel Elementary,SCH,67.6
2023 - 2024,Carroll County Public Schools,Oakland Elementary,SCH,68.2
2023 - 2024,Carroll County Public Schools,St. Paul,SCH,63.1
2023 - 2024,Charles City County Public Schools,Charles City County Elementary,SCH,66.1
2023 - 2024,Charles City County Public Schools,Charles City County High,SCH,51.9
2023 - 2024,Charlotte County Public Schools,Bacon District Elementary,SCH,75.3
2023 - 2024,Charlotte County Public Schools,Central Middle,SCH,47.7
2023 - 2024,Charlotte County Public Schools,Eureka Elementary,SCH,57.3
2023 - 2024,Charlotte County Public Schools,Phenix Elementary,SCH,57.4
2023 - 2024,Charlotte County Public Schools,Randolph-Henry High,SCH,37.8
2023 - 2024,Charlottesville City Public Schools,Buford Middle,SCH,18.4
2023 - 2024,Charlottesville City Public Schools,Burnley-Moran Elementary,SCH,31
2023 - 2024,Charlottesville City Public Schools,Charlottesville High,SCH,12.2
2023 - 2024,Charlottesville City Public Schools,Greenbrier Elementary,SCH,35.3
2023 - 2024,Charlottesville City Public Schools,Jackson-Via Elementary,SCH,47.8
2023 - 2024,Charlottesville City Public Schools,Johnson Elementary,SCH,49.4
2023 - 2024,Charlottesville City Public Schools,Summit Elementary,SCH,43.7
2023 - 2024,Charlottesville City Public Schools,Trailblazer Elementary,SCH,38.7
2023 - 2024,Charlottesville City Public Schools,Walker Upper Elementary,SCH,28.2
2023 - 2024,Chesapeake City Public Schools,B.M. Williams Primary,SCH,68.9
2023 - 2024,Chesapeake City Public Schools,Butts Road Intermediate,SCH,13.7
2023 - 2024,Chesapeake City Public Schools,Butts Road Primary,SCH,13
2023 - 2024,Chesapeake City Public Schools,Camelot Elementary,SCH,84.3
2023 - 2024,Chesapeake City Public Schools,Cedar Road Elementary,SCH,25
2023 - 2024,Chesapeake City Public Schools,Crestwood Intermediate,SCH,63.9
2023 - 2024,Chesapeake City Public Schools,Crestwood Middle,SCH,53
2023 - 2024,Chesapeake City Public Schools,Deep Creek Central Elementary,SCH,46.7
2023 - 2024,Chesapeake City Public Schools,Deep Creek Elementary,SCH,50.1
2023 - 2024,Chesapeake City Public Schools,Deep Creek High,SCH,14.3
