Breakfast Participation of Eligible Students,,,,
,,,,
,,,,
Year,Division,School,Level,Percent
2023 - 2024,Danville City Public Schools,O. Trent Bonner Middle,SCH,63.8
2023 - 2024,Danville City Public Schools,Park Avenue Elementary,SCH,71.5
2023 - 2024,Danville City Public Schools,Schoolfield Elementary,SCH,66.4
2023 - 2024,Danville City Public Schools,Westwood Middle,SCH,54.4
2023 - 2024,Danville City Public Schools,Woodberry Hills Elementary,SCH,70.6
2023 - 2024,Dickenson County Public Schools,Ridgeview Elementary ,SCH,68.3
2023 - 2024,Dickenson County Public Schools,Ridgeview High,SCH,44.3
2023 - 2024,Dickenson County Public Schools,Ridgeview Middle,SCH,56.1
2023 - 2024,Dinwiddie County Public Schools,Dinwiddie County High,SCH,12.8
2023 - 2024,Dinwiddie County Public Schools,Dinwiddie County Middle,SCH,57.3
2023 - 2024,Dinwiddie County Public Schools,Dinwiddie Elementary,SCH,53.2
2023 - 2024,Dinwiddie County Public Schools,Midway Elementary,SCH,41
2023 - 2024,Dinwiddie County Public Schools,Southside Elementary,SCH,65.3
2023 - 2024,Dinwiddie County Public Schools,Sunnyside Elementary,SCH,68.7
2023 - 2024,Dinwiddie County Public Schools,Sutherland Elementary,SCH,69.2
2023 - 2024,Essex County Public Schools,Essex High,SCH,29.2
2023 - 2024,Essex County Public Schools,James H. Cary Intermediate ,SCH,42.5
2023 - 2024,Essex County Public Schools,Tappahannock Elementary,SCH,70.8
2023 - 2024,Fairfax County Public Schools,Aldrin Elementary,SCH,48.1
2023 - 2024,Fairfax County Public Schools,Annandale High,SCH,46.2
2023 - 2024,Fairfax County Public Schools,Annandale Terrace Elementary,SCH,67.1
2023 - 2024,Fairfax County Public Schools,Archer Elementary,SCH,34.6
2023 - 2024,Fairfax County Public Schools,Armstrong Elementary,SCH,49.5
2023 - 2024,Fairfax County Public Schools,Bailey's Elementary School for the Arts and Sciences,SCH,58.7
2023 - 2024,Fairfax County Public Schools,Bailey's Upper Elementary School for the Arts and Sciences,SCH,64.3
2023 - 2024,Fairfax County Public Schools,Beech Tree Elementary,SCH,51.3
2023 - 2024,Fairfax County Public Schools,Belle View Elementary,SCH,26.9
2023 - 2024,Fairfax County Public Schools,Belvedere Elementary,SCH,34.5
2023 - 2024,Fairfax County Public Schools,Bonnie Brae Elementary,SCH,35.4
2023 - 2024,Fairfax County Public Schools,Braddock Elementary,SCH,73
2023 - 2024,Fairfax County Public Schools,Bren Mar Park Elementary,SCH,44
2023 - 2024,Fairfax County Public Schools,Brookfield Elementary,SCH,41.1
2023 - 2024,Fairfax County Public Schools,Bryant High,SCH,0
2023 - 2024,Fairfax County Public Schools,Bucknell Elementary,SCH,44.5
2023 - 2024,Fairfax County Public Schools,Bull Run Elementary,SCH,35.1
2023 - 2024,Fairfax County Public Schools,Bush Hill Elementary,SCH,30.1
2023 - 2024,Fairfax County Public Schools,Camelot Elementary,SCH,43
2023 - 2024,Fairfax County Public Schools,Cameron Elementary,SCH,57.9
2023 - 2024,Fairfax County Public Schools,Canterbury Woods Elementary,SCH,14.7
2023 - 2024,Fairfax County Public Schools,Cardinal Forest Elementary,SCH,33
2023 - 2024,Fairfax County Public Schools,Carson Middle,SCH,23.7
2023 - 2024,Fairfax County Public Schools,Centre Ridge Elementary,SCH,44
2023 - 2024,Fairfax County Public Schools,Centreville Elementary,SCH,30.5
2023 - 2024,Fairfax County Public Schools,Centreville High,SCH,15.8
2023 - 2024,Fairfax County Public Schools,Chantilly High,SCH,14.5
2023 - 2024,Fairfax County Public Schools,Cherry Run Elementary,SCH,21.4
2023 - 2024,Fairfax County Public Schools,Chesterbrook Elementary,SCH,12.2
2023 - 2024,Fairfax County Public Schools,Churchill Road Elementary,SCH,21.7
2023 - 2024,Fairfax County Public Schools,Clearview Elementary,SCH,37.7
2023 - 2024,Fairfax County Public Schools,Clermont Elementary,SCH,33.8
2023 - 2024,Fairfax County Public Schools,Coates Elementary,SCH,41.6
2023 - 2024,Fairfax County Public Schools,Columbia Elementary,SCH,35.9
2023 - 2024,Fairfax County Public Schools,Colvin Run Elementary,SCH,6.8
2023 - 2024,Fairfax County Public Schools,Cooper Middle,SCH,8.6
2023 - 2024,Fairfax County Public Schools,Crestwood Elementary,SCH,58.9
2023 - 2024,Fairfax County Public Schools,Crossfield Elementary,SCH,68.9
2023 - 2024,Fairfax County Public Schools,Cub Run Elementary,SCH,33.9
2023 - 2024,Fairfax County Public Schools,Cunningham Park Elementary,SCH,29.3
2023 - 2024,Fairfax County Public Schools,Daniels Run Elementary,SCH,37.6
2023 - 2024,Fairfax County Public Schools,Deer Park Elementary,SCH,29.9
2023 - 2024,Fairfax County Public Schools,Dogwood Elementary,SCH,50.2
2023 - 2024,Fairfax County Public Schools,Dranesville Elementary,SCH,41.2
2023 - 2024,Fairfax County Public Schools,Eagle View Elementary,SCH,41.1
2023 - 2024,Fairfax County Public Schools,Edison High,SCH,9.4
2023 - 2024,Fairfax County Public Schools,Fairfax High,SCH,19.1
2023 - 2024,Fairfax County Public Schools,Fairfax Villa Elementary,SCH,32.8
2023 - 2024,Fairfax County Public Schools,Fairhill Elementary,SCH,34.4
2023 - 2024,Fairfax County Public Schools,Fairview Elementary,SCH,21.9
2023 - 2024,Fairfax County Public Schools,Falls Church High,SCH,38.8
2023 - 2024,Fairfax County Public Schools,Flint Hill Elementary,SCH,9.6
2023 - 2024,Fairfax County Public Schools,Floris Elementary,SCH,35.7
2023 - 2024,Fairfax County Public Schools,Forest Edge Elementary,SCH,44.2
2023 - 2024,Fairfax County Public Schools,Forestdale Elementary,SCH,58.6
2023 - 2024,Fairfax County Public Schools,Forestville Elementary,SCH,10
2023 - 2024,Fairfax County Public Schools,Fort Belvoir Elementary,SCH,46.9
2023 - 2024,Fairfax County Public Schools,Fort Belvoir Upper Elementary,SCH,41.9
2023 - 2024,Fairfax County Public Schools,Fort Hunt Elementary,SCH,45.5
2023 - 2024,Fairfax County Public Schools,Fox Mill Elementary,SCH,22.9
2023 - 2024,Fairfax County Public Schools,Franconia Elementary,SCH,24.1
2023 - 2024,Fairfax County Public Schools,Franklin Middle,SCH,13.8
2023 - 2024,Fairfax County Public Schools,Freedom Hill Elementary,SCH,28.6
2023 - 2024,Fairfax County Public Schools,Frost Middle,SCH,12.3
2023 - 2024,Fairfax County Public Schools,Garfield Elementary,SCH,47.5
2023 - 2024,Fairfax County Public Schools,Glasgow Middle,SCH,73.2
2023 - 2024,Fairfax County Public Schools,Glen Forest Elementary,SCH,70.1
2023 - 2024,Fairfax County Public Schools,Graham Road Elementary,SCH,70.6
2023 - 2024,Fairfax County Public Schools,Great Falls Elementary,SCH,21.3
2023 - 2024,Fairfax County Public Schools,Greenbriar East Elementary,SCH,24.4
2023 - 2024,Fairfax County Public Schools,Greenbriar West Elementary,SCH,27.8
2023 - 2024,Fairfax County Public Schools,Groveton Elementary,SCH,58.8
2023 - 2024,Fairfax County Public Schools,Gunston Elementary,SCH,36.3
2023 - 2024,Fairfax County Public Schools,Halley Elementary,SCH,49.5
2023 - 2024,Fairfax County Public Schools,Haycock Elementary,SCH,16.6
2023 - 2024,Fairfax County Public Schools,Hayfield Elementary,SCH,23.2
2023 - 2024,Fairfax County Public Schools,Hayfield Secondary,SCH,16
2023 - 2024,Fairfax County Public Schools,Herndon Elementary,SCH,56.6
2023 - 2024,Fairfax County Public Schools,Herndon High,SCH,16.8
2023 - 2024,Fairfax County Public Schools,Herndon Middle,SCH,50.7
2023 - 2024,Fairfax County Public Schools,Hollin Meadows Elementary,SCH,61.9
2023 - 2024,Fairfax County Public Schools,Holmes Middle,SCH,24.7
2023 - 2024,Fairfax County Public Schools,Hughes Middle,SCH,14.9
2023 - 2024,Fairfax County Public Schools,Hunt Valley Elementary,SCH,31.6
2023 - 2024,Fairfax County Public Schools,Hunters Woods Elementary School for the Arts and Sciences,SCH,30.4
2023 - 2024,Fairfax County Public Schools,Hutchison Elementary,SCH,49.5
2023 - 2024,Fairfax County Public Schools,Hybla Valley Elementary,SCH,71.3
2023 - 2024,Fairfax County Public Schools,Irving Middle,SCH,16.9
2023 - 2024,Fairfax County Public Schools,Island Creek Elementary,SCH,15.5
2023 - 2024,Fairfax County Public Schools,Jackson Middle,SCH,23.5
2023 - 2024,Fairfax County Public Schools,Johnson Middle,SCH,15.8
2023 - 2024,Fairfax County Public Schools,Justice High,SCH,28
2023 - 2024,Fairfax County Public Schools,Keene Mill Elementary,SCH,24.3
2023 - 2024,Fairfax County Public Schools,Kent Gardens Elementary,SCH,9.5
2023 - 2024,Fairfax County Public Schools,Key Center,SCH,0
2023 - 2024,Fairfax County Public Schools,Key Middle,SCH,22.4
2023 - 2024,Fairfax County Public Schools,Kilmer Center,SCH,0
2023 - 2024,Fairfax County Public Schools,Kilmer Middle,SCH,21.8
2023 - 2024,Fairfax County Public Schools,Kings Glen Elementary,SCH,21.3
2023 - 2024,Fairfax County Public Schools,Kings Park Elementary,SCH,29.9
2023 - 2024,Fairfax County Public Schools,Lake Anne Elementary,SCH,30.3
2023 - 2024,Fairfax County Public Schools,Lake Braddock Secondary,SCH,12.1
2023 - 2024,Fairfax County Public Schools,Lane Elementary,SCH,33.9
2023 - 2024,Fairfax County Public Schools,Langley High,SCH,6.3
2023 - 2024,Fairfax County Public Schools,Laurel Hill Elementary,SCH,28.4
2023 - 2024,Fairfax County Public Schools,Laurel Ridge Elementary,SCH,29.8
2023 - 2024,Fairfax County Public Schools,Lees Corner Elementary,SCH,31.3
2023 - 2024,Fairfax County Public Schools,Lemon Road Elementary,SCH,31.9
2023 - 2024,Fairfax County Public Schools,Lewis High,SCH,19.3
2023 - 2024,Fairfax County Public Schools,Liberty Middle,SCH,14.9
2023 - 2024,Fairfax County Public Schools,Little Run Elementary,SCH,38.9
2023 - 2024,Fairfax County Public Schools,London Towne Elementary,SCH,44.5
2023 - 2024,Fairfax County Public Schools,Longfellow Middle,SCH,12.3
2023 - 2024,Fairfax County Public Schools,Lorton Station Elementary,SCH,34.4
2023 - 2024,Fairfax County Public Schools,Lynbrook Elementary,SCH,52.3
2023 - 2024,Fairfax County Public Schools,Madison High,SCH,9.3
2023 - 2024,Fairfax County Public Schools,Mantua Elementary,SCH,14.3
2023 - 2024,Fairfax County Public Schools,Marshall High,SCH,13.8
2023 - 2024,Fairfax County Public Schools,Marshall Road Elementary,SCH,35
2023 - 2024,Fairfax County Public Schools,Mason Crest Elementary,SCH,31.4
2023 - 2024,Fairfax County Public Schools,McLean High,SCH,14.6
2023 - 2024,Fairfax County Public Schools,McNair Elementary,SCH,33.3
2023 - 2024,Fairfax County Public Schools,McNair Upper Elementary,SCH,35.8
2023 - 2024,Fairfax County Public Schools,Mosaic Elementary,SCH,28
2023 - 2024,Fairfax County Public Schools,Mount Eagle Elementary,SCH,86.2
2023 - 2024,Fairfax County Public Schools,Mount Vernon High,SCH,25.7
2023 - 2024,Fairfax County Public Schools,Mount Vernon Woods Elementary,SCH,57.1
2023 - 2024,Fairfax County Public Schools,Mountain View High,SCH,0
2023 - 2024,Fairfax County Public Schools,Navy Elementary,SCH,18.5
2023 - 2024,Fairfax County Public Schools,Newington Forest Elementary,SCH,26.9
2023 - 2024,Fairfax County Public Schools,North Springfield Elementary,SCH,29
2023 - 2024,Fairfax County Public Schools,Oak Hill Elementary,SCH,23.6
2023 - 2024,Fairfax County Public Schools,Oak View Elementary,SCH,23.8
2023 - 2024,Fairfax County Public Schools,Oakton Elementary,SCH,16.3
2023 - 2024,Fairfax County Public Schools,Oakton High,SCH,9.4
2023 - 2024,Fairfax County Public Schools,Olde Creek Elementary,SCH,37.1
2023 - 2024,Fairfax County Public Schools,Orange Hunt Elementary,SCH,21.2
2023 - 2024,Fairfax County Public Schools,Parklawn Elementary,SCH,60.8
2023 - 2024,Fairfax County Public Schools,Pine Spring Elementary,SCH,49.5
2023 - 2024,Fairfax County Public Schools,Poe Middle,SCH,82.9
2023 - 2024,Fairfax County Public Schools,Poplar Tree Elementary,SCH,19.7
2023 - 2024,Fairfax County Public Schools,Powell Elementary,SCH,11.6
2023 - 2024,Fairfax County Public Schools,Providence Elementary,SCH,29.9
2023 - 2024,Fairfax County Public Schools,Ravensworth Elementary,SCH,23.7
2023 - 2024,Fairfax County Public Schools,Riverside Elementary,SCH,47.3
2023 - 2024,Fairfax County Public Schools,Robinson Secondary,SCH,13.1
2023 - 2024,Fairfax County Public Schools,Rocky Run Middle,SCH,11.1
2023 - 2024,Fairfax County Public Schools,Rolling Valley Elementary,SCH,15.7
2023 - 2024,Fairfax County Public Schools,Rose Hill Elementary,SCH,25.7
2023 - 2024,Fairfax County Public Schools,Sandburg Middle,SCH,18
2023 - 2024,Fairfax County Public Schools,Sangster Elementary,SCH,12
2023 - 2024,Fairfax County Public Schools,Saratoga Elementary,SCH,38.1
2023 - 2024,Fairfax County Public Schools,Sherman Elementary,SCH,35.2
2023 - 2024,Fairfax County Public Schools,Shrevewood Elementary,SCH,35.9
2023 - 2024,Fairfax County Public Schools,Silverbrook Elementary,SCH,28.5
2023 - 2024,Fairfax County Public Schools,Sleepy Hollow Elementary,SCH,52.4
2023 - 2024,Fairfax County Public Schools,South County High,SCH,19.4
2023 - 2024,Fairfax County Public Schools,South County Middle,SCH,7.6
2023 - 2024,Fairfax County Public Schools,South Lakes High,SCH,17.5
2023 - 2024,Fairfax County Public Schools,Spring Hill Elementary,SCH,17.1
2023 - 2024,Fairfax County Public Schools,Springfield Estates Elementary,SCH,23
2023 - 2024,Fairfax County Public Schools,Stenwood Elementary,SCH,20.3
2023 - 2024,Fairfax County Public Schools,Stone Middle,SCH,16.6
2023 - 2024,Fairfax County Public Schools,Stratford Landing Elementary,SCH,35
2023 - 2024,Fairfax County Public Schools,Sunrise Valley Elementary,SCH,21.2
2023 - 2024,Fairfax County Public Schools,Terra Centre Elementary,SCH,25.1
2023 - 2024,Fairfax County Public Schools,Terraset Elementary,SCH,31.6
2023 - 2024,Fairfax County Public Schools,Thomas Jefferson High for Science and Technology,SCH,13.3
2023 - 2024,Fairfax County Public Schools,Thoreau Middle,SCH,9.5
2023 - 2024,Fairfax County Public Schools,Timber Lane Elementary,SCH,37.1
2023 - 2024,Fairfax County Public Schools,Twain Middle,SCH,14.2
2023 - 2024,Fairfax County Public Schools,Union Mill Elementary,SCH,15.6
2023 - 2024,Fairfax County Public Schools,Vienna Elementary,SCH,31
2023 - 2024,Fairfax County Public Schools,Virginia Run Elementary,SCH,32.9
2023 - 2024,Fairfax County Public Schools,Wakefield Forest Elementary,SCH,11.5
2023 - 2024,Fairfax County Public Schools,Waples Mill Elementary,SCH,10
2023 - 2024,Fairfax County Public Schools,Washington Mill Elementary,SCH,60
2023 - 2024,Fairfax County Public Schools,Waynewood Elementary,SCH,41
2023 - 2024,Fairfax County Public Schools,West Potomac High,SCH,27.5
2023 - 2024,Fairfax County Public Schools,West Springfield Elementary,SCH,17.6
2023 - 2024,Fairfax County Public Schools,West Springfield High,SCH,10.1
2023 - 2024,Fairfax County Public Schools,Westbriar Elementary,SCH,10.7
2023 - 2024,Fairfax County Public Schools,Westfield High,SCH,16.2
2023 - 2024,Fairfax County Public Schools,Westgate Elementary,SCH,37.7
2023 - 2024,Fairfax County Public Schools,Westlawn Elementary,SCH,57.5
2023 - 2024,Fairfax County Public Schools,Weyanoke Elementary,SCH,75.1
2023 - 2024,Fairfax County Public Schools,White Oaks Elementary,SCH,28.5
2023 - 2024,Fairfax County Public Schools,Whitman Middle,SCH,28
2023 - 2024,Fairfax County Public Schools,Willow Springs Elementary,SCH,11.2
2023 - 2024,Fairfax County Public Schools,Wolftrap Elementary,SCH,13.7
2023 - 2024,Fairfax County Public Schools,Woodburn Elementary,SCH,54.3
2023 - 2024,Fairfax County Public Schools,Woodlawn Elementary,SCH,49.7
2023 - 2024,Fairfax County Public Schools,Woodley Hills Elementary,SCH,52.9
2023 - 2024,Fairfax County Public Schools,Woodson High,SCH,13.9
2023 - 2024,Falls Church City Public Schools,Mary Ellen Henderson Middle,SCH,3.5
2023 - 2024,Falls Church City Public Schools,Meridian High,SCH,21
2023 - 2024,Falls Church City Public Schools,Mount Daniel Elementary,SCH,71.1
2023 - 2024,Falls Church City Public Schools,Oak Street Elementary,SCH,16.8
2023 - 2024,Fauquier County Public Schools,Auburn Middle,SCH,28
2023 - 2024,Fauquier County Public Schools,C. Hunter Ritchie Elementary,SCH,29.8
2023 - 2024,Fauquier County Public Schools,C.M. Bradley Elementary,SCH,34.5
2023 - 2024,Fauquier County Public Schools,Cedar Lee Middle,SCH,24.8
2023 - 2024,Fauquier County Public Schools,Claude Thompson Elementary,SCH,45.6
2023 - 2024,Fauquier County Public Schools,Fauquier High,SCH,14.8
2023 - 2024,Fauquier County Public Schools,Grace Miller Elementary,SCH,31.9
2023 - 2024,Fauquier County Public Schools,Greenville Elementary,SCH,35.8
2023 - 2024,Fauquier County Public Schools,H.M. Pearson Elementary,SCH,51.6
2023 - 2024,Fauquier County Public Schools,James G. Brumfield Elementary,SCH,40.2
2023 - 2024,Fauquier County Public Schools,Kettle Run High,SCH,12.4
2023 - 2024,Fauquier County Public Schools,Liberty High,SCH,23.6
2023 - 2024,Fauquier County Public Schools,Margaret M. Pierce Elementary,SCH,54.9
2023 - 2024,Fauquier County Public Schools,Marshall Middle,SCH,36.9
2023 - 2024,Fauquier County Public Schools,Mary Walter Elementary,SCH,53.5
2023 - 2024,Fauquier County Public Schools,P.B. Smith Elementary,SCH,13.1
2023 - 2024,Fauquier County Public Schools,W.C. Taylor Middle,SCH,36.7
2023 - 2024,Fauquier County Public Schools,W.G. Coleman Elementary,SCH,54.5
2023 - 2024,Floyd County Public Schools,Check Elementary,SCH,57.1
2023 - 2024,Floyd County Public Schools,Floyd County High,SCH,48
2023 - 2024,Floyd County Public Schools,Floyd Elementary,SCH,55.4
2023 - 2024,Floyd County Public Schools,Indian Valley Elementary,SCH,81.7
2023 - 2024,Floyd County Public Schools,Willis Elementary,SCH,66.9
2023 - 2024,Fluvanna County Public Schools,Carysbrook Elementary,SCH,41.1
2023 - 2024,Fluvanna County Public Schools,Central Elementary,SCH,67.1
2023 - 2024,Fluvanna County Public Schools,Fluvanna County High,SCH,17.5
2023 - 2024,Fluvanna County Public Schools,Fluvanna Middle,SCH,31
2023 - 2024,Franklin City Public Schools,Franklin High,SCH,33.2
2023 - 2024,Franklin City Public Schools,S.P. Morton Elementary,SCH,61.5
2023 - 2024,Franklin County Public Schools,Benjamin Franklin Middle,SCH,55.7
2023 - 2024,Franklin County Public Schools,Boones Mill Elementary,SCH,59.5
2023 - 2024,Franklin County Public Schools,Callaway Elementary,SCH,58.2
2023 - 2024,Franklin County Public Schools,Dudley Elementary,SCH,61.8
2023 - 2024,Franklin County Public Schools,Ferrum Elementary,SCH,68.5
2023 - 2024,Franklin County Public Schools,Franklin County High,SCH,39
2023 - 2024,Franklin County Public Schools,Glade Hill Elementary,SCH,69.6
2023 - 2024,Franklin County Public Schools,Lee M. Waid Elementary,SCH,68.3
2023 - 2024,Franklin County Public Schools,Rocky Mount Elementary,SCH,63.1
2023 - 2024,Franklin County Public Schools,Snow Creek Elementary,SCH,66.2
2023 - 2024,Franklin County Public Schools,Sontag Elementary,SCH,86
2023 - 2024,Franklin County Public Schools,Windy Gap Elementary,SCH,52.4
2023 - 2024,Frederick County Public Schools,Admiral Richard E. Byrd Middle,SCH,32.2
2023 - 2024,Frederick County Public Schools,Apple Pie Ridge Elementary,SCH,30.1
2023 - 2024,Frederick County Public Schools,Armel Elementary,SCH,37
2023 - 2024,Frederick County Public Schools,Bass-Hoover Elementary,SCH,43.3
2023 - 2024,Frederick County Public Schools,Evendale Elementary,SCH,49.7
2023 - 2024,Frederick County Public Schools,Frederick County Middle,SCH,38.4
2023 - 2024,Frederick County Public Schools,Gainesboro Elementary,SCH,49.7
2023 - 2024,Frederick County Public Schools,Greenwood Mill Elementary,SCH,32
2023 - 2024,Frederick County Public Schools,Indian Hollow Elementary,SCH,51.6
2023 - 2024,Frederick County Public Schools,James Wood High,SCH,23
2023 - 2024,Frederick County Public Schools,James Wood Middle,SCH,36
2023 - 2024,Frederick County Public Schools,Jordan Springs Elementary,SCH,38.6
2023 - 2024,Frederick County Public Schools,Middletown Elementary,SCH,41.2
2023 - 2024,Frederick County Public Schools,Millbrook High,SCH,25.4
2023 - 2024,Frederick County Public Schools,Orchard View Elementary,SCH,40.6
2023 - 2024,Frederick County Public Schools,Redbud Run Elementary,SCH,42.2
2023 - 2024,Frederick County Public Schools,Robert E. Aylor Middle,SCH,28.5
2023 - 2024,Frederick County Public Schools,Sherando High,SCH,25.7
2023 - 2024,Frederick County Public Schools,Stonewall Elementary,SCH,56.7
2023 - 2024,Fredericksburg City Public Schools,Hugh Mercer Elementary,SCH,64.7
2023 - 2024,Fredericksburg City Public Schools,James Monroe High,SCH,30.1
2023 - 2024,Fredericksburg City Public Schools,Lafayette Elementary,SCH,51.2
2023 - 2024,Fredericksburg City Public Schools,Walker-Grant Middle,SCH,48.2
2023 - 2024,Galax City Public Schools,Galax Elementary,SCH,40.5
2023 - 2024,Galax City Public Schools,Galax High,SCH,28.2
2023 - 2024,Galax City Public Schools,Galax Middle,SCH,44.1
2023 - 2024,Giles County Public Schools,Eastern Elementary/Middle ,SCH,45.1
2023 - 2024,Giles County Public Schools,Giles High,SCH,34.3
2023 - 2024,Giles County Public Schools,Macy Mcclaugherty Elementary/Middle,SCH,55.1
2023 - 2024,Giles County Public Schools,Narrows Elementary/Middle ,SCH,76.4
2023 - 2024,Giles County Public Schools,Narrows High,SCH,33.7
2023 - 2024,Gloucester County Public Schools,Abingdon Elementary,SCH,53.5
2023 - 2024,Gloucester County Public Schools,Achilles Elementary,SCH,71.4
2023 - 2024,Gloucester County Public Schools,Bethel Elementary,SCH,63.4
2023 - 2024,Gloucester County Public Schools,Botetourt Elementary,SCH,51.3
2023 - 2024,Gloucester County Public Schools,Gloucester High,SCH,19.9
2023 - 2024,Gloucester County Public Schools,Page Middle,SCH,38.6
2023 - 2024,Gloucester County Public Schools,Peasley Middle,SCH,32.5
2023 - 2024,Gloucester County Public Schools,Petsworth Elementary,SCH,38.5
2023 - 2024,Goochland County Public Schools,Byrd Elementary,SCH,62.9
2023 - 2024,Goochland County Public Schools,Goochland Elementary,SCH,41.1
2023 - 2024,Goochland County Public Schools,Goochland High,SCH,14.5
2023 - 2024,Goochland County Public Schools,Goochland Middle,SCH,38
2023 - 2024,Goochland County Public Schools,Randolph Elementary,SCH,40.8
2023 - 2024,Grayson County Public Schools,Fairview Elementary,SCH,71.4
2023 - 2024,Grayson County Public Schools,Fries Elementary,SCH,67.6
2023 - 2024,Grayson County Public Schools,Grayson County High,SCH,40.5
2023 - 2024,Grayson County Public Schools,Grayson Highlands,SCH,71.7
2023 - 2024,Grayson County Public Schools,Independence Elementary,SCH,72.2
2023 - 2024,Grayson County Public Schools,Independence Middle,SCH,49
2023 - 2024,Greene County Public Schools,Nathanael Greene Elementary,SCH,82.2
2023 - 2024,Greene County Public Schools,Nathanael Greene Primary,SCH,69
2023 - 2024,Greene County Public Schools,Ruckersville Elementary,SCH,71.9
2023 - 2024,Greene County Public Schools,William Monroe High,SCH,22.6
2023 - 2024,Greene County Public Schools,William Monroe Middle,SCH,39
2023 - 2024,Greensville County Public Schools,Edward W. Wyatt Middle,SCH,54.8
2023 - 2024,Greensville County Public Schools,Greensville County High,SCH,28.1
2023 - 2024,Greensville County Public Schools,Greensville Elementary,SCH,71.6
2023 - 2024,Halifax County Public Schools,Clays Mill Elementary,SCH,57.4
2023 - 2024,Halifax County Public Schools,Cluster Springs Elementary,SCH,60
2023 - 2024,Halifax County Public Schools,Halifax County High,SCH,23.5
2023 - 2024,Halifax County Public Schools,Halifax County Middle,SCH,36.6
2023 - 2024,Halifax County Public Schools,Meadville Elementary,SCH,62.8
2023 - 2024,Halifax County Public Schools,Scottsburg Elementary,SCH,57.4
2023 - 2024,Halifax County Public Schools,Sinai Elementary,SCH,77.7
2023 - 2024,Halifax County Public Schools,South Boston Elementary,SCH,60.7
2023 - 2024,Halifax County Public Schools,Sydnor Jennings Elementary,SCH,64.5
2023 - 2024,Hampton City Public Schools,A.W.E. Bassette Elementary,SCH,70.2
2023 - 2024,Hampton City Public Schools,Aberdeen Elementary,SCH,76.2
2023 - 2024,Hampton City Public Schools,Albert W. Patrick III Elementary,SCH,65.3
2023 - 2024,Hampton City Public Schools,Alfred S. Forrest Elementary,SCH,70.1
2023 - 2024,Hampton City Public Schools,Armstrong Elementary,SCH,27.6
2023 - 2024,Hampton City Public Schools,Barron Elementary,SCH,57.8
2023 - 2024,Hampton City Public Schools,Benjamin Syms Middle,SCH,53.9
2023 - 2024,Hampton City Public Schools,Bethel High,SCH,23.1
2023 - 2024,Hampton City Public Schools,C. Alton Lindsay Middle,SCH,55.3
2023 - 2024,Hampton City Public Schools,Captain John Smith Elementary,SCH,69.9
2023 - 2024,Hampton City Public Schools,Cesar Tarrant Middle,SCH,50.5
2023 - 2024,Hampton City Public Schools,Christopher C. Kraft Elementary ,SCH,61
2023 - 2024,Hampton City Public Schools,Francis Asbury Elementary,SCH,61.1
2023 - 2024,Hampton City Public Schools,Francis W. Jones Magnet Middle,SCH,13.8
2023 - 2024,Hampton City Public Schools,George P. Phenix Elementary,SCH,52.3
2023 - 2024,Hampton City Public Schools,Hampton High,SCH,24.6
2023 - 2024,Hampton City Public Schools,Hunter B. Andrews,SCH,62.5
2023 - 2024,Hampton City Public Schools,Jane H. Bryan Elementary,SCH,62.8
2023 - 2024,Hampton City Public Schools,Kecoughtan High,SCH,24.9
2023 - 2024,Hampton City Public Schools,Luther W. Machen Elementary ,SCH,61.1
2023 - 2024,Hampton City Public Schools,Mary S. Peake Elementary,SCH,75.3
2023 - 2024,Hampton City Public Schools,Mary T. Christian Elementary,SCH,79.8
2023 - 2024,Hampton City Public Schools,Mary W. Jackson Elementary,SCH,54
2023 - 2024,Hampton City Public Schools,Paul Burbank Elementary,SCH,59.2
2023 - 2024,Hampton City Public Schools,Phillips Elementary,SCH,70.9
2023 - 2024,Hampton City Public Schools,Phoebus High,SCH,22.6
2023 - 2024,Hampton City Public Schools,Samuel P. Langley Elementary,SCH,56.7
2023 - 2024,Hampton City Public Schools,Thomas Eaton Middle,SCH,41.7
2023 - 2024,Hampton City Public Schools,William Mason Cooper Elementary,SCH,64.6
2023 - 2024,Hanover County Public Schools,Atlee High,SCH,10.9
2023 - 2024,Hanover County Public Schools,Battlefield Park Elementary,SCH,39.9
2023 - 2024,Hanover County Public Schools,Beaverdam Elementary,SCH,39.6
2023 - 2024,Hanover County Public Schools,Bell Creek Middle,SCH,25.9
2023 - 2024,Hanover County Public Schools,Chickahominy Middle,SCH,27.1
2023 - 2024,Hanover County Public Schools,Cold Harbor Elementary,SCH,49
2023 - 2024,Hanover County Public Schools,Cool Spring Elementary,SCH,29.2
2023 - 2024,Hanover County Public Schools,Elmont Elementary,SCH,43.7
2023 - 2024,Hanover County Public Schools,Hanover High,SCH,17
2023 - 2024,Hanover County Public Schools,Kersey Creek Elementary,SCH,28.7
2023 - 2024,Hanover County Public Schools,Laurel Meadow Elementary,SCH,37.2
2023 - 2024,Hanover County Public Schools,Liberty Middle,SCH,35.4
2023 - 2024,Hanover County Public Schools,Mechanicsville Elementary,SCH,52.8
2023 - 2024,Hanover County Public Schools,Mechanicsville High,SCH,15.4
2023 - 2024,Hanover County Public Schools,Oak Knoll Middle,SCH,17.6
2023 - 2024,Hanover County Public Schools,Patrick Henry High,SCH,13.8
2023 - 2024,Hanover County Public Schools,Pearson's Corner Elementary,SCH,32.9
2023 - 2024,Hanover County Public Schools,Pole Green Elementary,SCH,29.2
