"division_name","median_income","district_masters_avg","district_poverty","district_enrollment_avg"
"Salem City Public Schools",66716,56.734693877551,2,69
"Scott County Public Schools",45136,36.2912621359223,2,60.3333333333333
"Shenandoah County Public Schools",64437,52.9710144927536,2,49.6190476190476
"Smyth County Public Schools",46859,41.2881355932203,3,51.6666666666667
"Southampton County Public Schools",68465,36.921568627451,2,55
"Spotsylvania County Public Schools",109576,49.7027027027027,1.89189189189189,60.9387755102041
"Stafford County Public Schools",133792,52.4028268551237,1.64310954063604,68.1063829787234
"Staunton City Public Schools",62586,48.6279069767442,2,52
"Suffolk City Public Schools",90089,48.2147239263804,2,55.3333333333333
"Surry County Public Schools",71458,48.2758620689655,3,58
"Sussex County Public Schools",62821,45.0357142857143,3,54
"Tazewell County Public Schools",45788,40.0720720720721,2,69.3333333333333
"Virginia Beach City Public Schools",90685,51.5752461322082,1.79746835443038,62.2727272727273
"Warren County Public Schools",84331,40.5064935064935,2,45
"Washington County Public Schools",62774,46.8195488721804,2,58.2
"Waynesboro City Public Schools",56364,53.1372549019608,2,39
"West Point Public Schools",NA,51.0714285714286,1.35714285714286,64
"Westmoreland County Public Schools",59766,45.25,3,38
"Williamsburg-James City County Public Schools",70206,57.1688311688312,1.57142857142857,66.3333333333333
"Winchester City Public Schools",64648,56.65625,2,59
"Wise County Public Schools",50740,38.8125,3,58.3333333333333
"Wythe County Public Schools",55359,41.5181818181818,2,64.7857142857143
"York County Public Schools",108326,58.7457627118644,1.26363636363636,69.25
"Bath County Public Schools",61709,56.6666666666667,2.55555555555556,54
"Louisa County Public Schools",80343,47.9354838709677,2,53
"Prince Edward County Public Schools",55082,42.3333333333333,3,52
